Historic Report Comparison,PEA,PFS,FS
Bias to Trend Mean of Reported Data,-1.425543089986164,4.793649456750042,-2.530734139501237
Bias to Trend Mean of Spot Data,-1.7020876497629605,9.384772573498344,-6.013349020128392
Bias to Trend Mean of 3-year,-2.272826080576686,7.89285326209401,-3.782251935576585
Bias to Trend Mean of 5 year,-0.8990811788501151,14.300749235114665,-2.0308252108961904
