date,zinc_price,zinc_price_quarterly,zinc_price_yearly,zinc_price_3y,zinc_price_5y,zinc_price_price_floor,zinc_price_floor_spot_3y,zinc_price_floor_spot_5y
2006-11-01,4378.61363636364,3867.4251443001435,3052.6664787105005,1803.6672000747828,1399.9238652781364,1399.9238652781364,1803.6672000747828,1399.9238652781364
2006-12-01,4381.44736842105,4196.55442583732,3266.1766760789214,1898.241928562669,1460.315144947899,1460.315144947899,1898.241928562669,1460.315144947899
2007-01-01,3784.86363636364,4181.641547049443,3407.2694791092254,1975.157915816156,1510.1596146448687,1510.1596146448687,1975.157915816156,1510.1596146448687
2007-02-01,3321.375,3829.2286682615636,3499.073645775892,2037.2575685939341,1552.624697978202,1552.624697978202,2037.2575685939341,1552.624697978202
2007-03-01,3256.18181818182,3454.140151515154,3568.1183262765503,2097.1016287608204,1593.2278116145658,1593.2278116145658,2097.1016287608204,1593.2278116145658
2007-04-01,3566.85526315789,3381.4706937799037,3609.6613574656344,2167.6000388485395,1639.2157961592607,1639.2157961592607,2167.6000388485395,1639.2157961592607
2007-05-01,3847.52380952381,3556.8536302878406,3634.901436830713,2245.837980925955,1690.5370263179907,1690.5370263179907,2245.837980925955,1690.5370263179907
2007-06-01,3628.65476190476,3681.011278195487,3670.8234245652006,2318.3328101707843,1738.1909019793666,1738.1909019793666,2318.3328101707843,1738.1909019793666
2007-07-01,3546.29545454545,3674.158008658007,3689.6198711741467,2389.3942369384613,1784.0456088304863,1784.0456088304863,2389.3942369384613,1784.0456088304863
2007-08-01,3244.17045454545,3473.0402236652203,3681.636916628692,2452.377477077951,1825.634957676085,1825.634957676085,2452.377477077951,1825.634957676085
2007-09-01,2887.6,3226.021969696967,3639.4319563112317,2505.366302835527,1861.1586878348155,1861.1586878348155,2505.366302835527,1861.1586878348155
2007-10-01,2979.98913043478,3037.2531949934105,3568.6308611201907,2558.506873919033,1898.240390733366,1898.240390733366,2558.506873919033,1898.240390733366
2007-11-01,2554.60227272727,2807.3971343873504,3416.6299141504933,2598.906810787719,1928.0743175010427,1928.0743175010427,2554.60227272727,1928.0743175010427
2007-12-01,2378.59722222222,2637.7295417947566,3249.7257353005903,2632.1422495002416,1954.4799061253811,1954.4799061253811,2378.59722222222,1954.4799061253811
2008-01-01,2364.40909090909,2432.5361952861936,3131.354523179378,2663.222363136605,1980.848087943563,1980.848087943563,2364.40909090909,1980.848087943563
2008-02-01,2458.47619047619,2400.494167869167,3059.4462890523937,2694.761146205388,2008.7287744514992,2008.7287744514992,2458.47619047619,2008.7287744514992
2008-03-01,2511.18421052632,2444.6898306372004,2997.3631550811024,2726.3515806247697,2037.410098595192,2037.410098595192,2511.18421052632,2037.410098595192
2008-04-01,2278.51136363636,2416.0572548796235,2890.0011634543084,2753.593959773399,2062.7732046557985,2062.7732046557985,2278.51136363636,2062.7732046557985
2008-05-01,2178.325,2322.6735247208935,2750.9012626606577,2779.5055569956216,2086.1436213224647,2086.1436213224647,2178.325,2086.1436213224647
2008-06-01,1906.17380952381,2121.0033910533903,2607.361183295578,2797.091003724818,2104.7358038621473,1906.17380952381,1906.17380952381,1906.17380952381
2008-07-01,1856.44565217391,1980.314820565907,2466.540366431283,2815.4135681370562,2121.8684850215677,1856.44565217391,1856.44565217391,1856.44565217391
2008-08-01,1734.65,1832.42315389924,2340.7469952191627,2827.467103490592,2137.192735021568,1734.65,1734.65,1734.65
2008-09-01,1744.52272727273,1778.5394598155472,2245.490555825223,2837.1302979350357,2152.6194395670223,1744.52272727273,1744.52272727273,1744.52272727273
2008-10-01,1303.00434782609,1594.0590250329403,2105.741823941166,2832.124797014861,2159.334838117747,1303.00434782609,1303.00434782609,1303.00434782609
2008-11-01,1169.3625,1405.6298583662738,1990.3051762138932,2819.8671896916294,2163.5873381177466,1169.3625,1169.3625,1169.3625
2008-12-01,1112.90476190476,1195.0905365769504,1884.8308045207716,2800.2444053000945,2165.8564651018737,1112.90476190476,1112.90476190476,1112.90476190476
2009-01-01,1202.52380952381,1161.5970238095235,1788.0070310719982,2775.5436777868667,2168.967060339969,1202.52380952381,1202.52380952381,1202.52380952381
2009-02-01,1118.0025,1144.4770238095236,1676.3008901989826,2744.9402750090894,2169.5039770066355,1118.0025,1118.0025,1118.0025
2009-03-01,1223.21818181818,1181.2481637806638,1568.9703878066375,2711.483956388097,2171.5276858340403,1223.21818181818,1223.21818181818,1223.21818181818
2009-04-01,1388.1375,1243.1193939393936,1494.7725658369409,2664.8116955856276,2177.5147691673733,1388.1375,1388.1375,1388.1375
2009-05-01,1492.51842105263,1367.9580342902702,1437.6220175913268,2607.808239027566,2185.20744460597,1492.51842105263,1492.51842105263,1492.51842105263
2009-06-01,1556.77272727273,1479.1428827751204,1408.5052607370699,2562.2299561992827,2194.1729749090005,1556.77272727273,1556.77272727273,1556.77272727273
2009-07-01,1580.85869565217,1543.3832813258434,1385.539681026925,2513.8999728774515,2204.0525516547186,1580.85869565217,1580.85869565217,1580.85869565217
2009-08-01,1818.0125,1651.8813076416336,1392.4865560269252,2471.623489291593,2218.0731964959878,1818.0125,1818.0125,1818.0125
2009-09-01,1879.14772727273,1759.3396409749669,1403.7053060269252,2429.54260605446,2233.058954071746,1879.14772727273,1879.14772727273,1879.14772727273
2009-10-01,2070.84454545455,1922.6682575757602,1467.69198916263,2380.6882247413287,2249.7908869721787,2070.84454545455,2070.84454545455,2070.84454545455
2009-11-01,2196.54761904762,2048.8466305916336,1553.290749083265,2320.0752798158837,2268.0632715320635,2196.54761904762,2196.54761904762,2196.54761904762
2009-12-01,2374.0380952381,2213.8100865800902,1658.38519352771,2264.3139111163573,2287.9285493098414,2264.3139111163573,2264.3139111163573,2287.9285493098414
2010-01-01,2414.6625,2328.4160714285736,1759.3967510673926,2226.2527684395895,2307.4141743098417,2226.2527684395895,2226.2527684395895,2307.4141743098417
2010-02-01,2158.8,2315.8335317460337,1846.1298760673924,2193.9590184395897,2321.342840976508,2158.8,2158.8,2158.8
2010-03-01,2277.26304347826,2283.5751811594205,1933.9669478723993,2166.76683025338,2336.3984155106696,2166.76683025338,2166.76683025338,2277.26304347826
