Historic Report Comparison,PEA,PFS,FS
Bias to Trend Mean of Reported Data,0.12030346223420998,1.0314415294151091,-2.249313381413761
Bias to Trend Mean of Spot Data,-9.573181584680174,-5.972610007637318,-13.521233580606976
Bias to Trend Mean of 3-year,-4.2646713421821,-2.071730179804458,-6.861083254984834
Bias to Trend Mean of 5 year,2.3111815082340557,3.200651792924255,0.3448526064932774
