date,silver_price,silver_price_3y,silver_price_5y,silver_price_price_floor,silver_price_floor_spot_3y,silver_price_floor_spot_5y
2006-01-01,9.91,6.482222222222223,5.688999999999999,5.688999999999999,6.482222222222223,5.688999999999999
2006-02-01,9.7,6.623888888888889,5.776833333333332,5.776833333333332,6.623888888888889,5.776833333333332
2006-03-01,11.76,6.826666666666666,5.900666666666667,5.900666666666667,6.826666666666666,5.900666666666667
2006-04-01,12.56,7.0475,6.037166666666667,6.037166666666667,7.0475,6.037166666666667
2006-05-01,13.13,7.285555555555557,6.182166666666666,6.182166666666666,7.285555555555557,6.182166666666666
2006-06-01,10.7,7.4575000000000005,6.288166666666667,6.288166666666667,7.4575000000000005,6.288166666666667
2006-07-01,11.44,7.634166666666666,6.4085,6.4085,7.634166666666666,6.4085
2006-08-01,12.6,7.842222222222223,6.5485,6.5485,7.842222222222223,6.5485
2006-09-01,11.55,8.020833333333334,6.6645,6.6645,8.020833333333334,6.6645
2006-10-01,12.08,8.213611111111112,6.7945,6.7945,8.213611111111112,6.7945
2006-11-01,13.68,8.445,6.9535,6.9535,8.445,6.9535
2006-12-01,12.9,8.6375,7.093166666666667,7.093166666666667,8.6375,7.093166666666667
2007-01-01,13.36,8.835555555555556,7.2445,7.2445,8.835555555555556,7.2445
2007-02-01,14.31,9.050277777777778,7.409000000000001,7.409000000000001,9.050277777777778,7.409000000000001
2007-03-01,13.35,9.20361111111111,7.5535,7.5535,9.20361111111111,7.5535
2007-04-01,13.5,9.413333333333334,7.701833333333334,7.701833333333334,9.413333333333334,7.701833333333334
2007-05-01,13.25,9.61,7.8385,7.8385,9.61,7.8385
2007-06-01,12.54,9.794166666666667,7.966333333333334,7.966333333333334,9.794166666666667,7.966333333333334
2007-07-01,12.93,9.975000000000001,8.104166666666666,8.104166666666666,9.975000000000001,8.104166666666666
2007-08-01,11.95,10.119722222222222,8.227166666666667,8.227166666666667,10.119722222222222,8.227166666666667
2007-09-01,13.65,10.31361111111111,8.379166666666666,8.379166666666666,10.31361111111111,8.379166666666666
2007-10-01,14.32,10.5125,8.543166666666668,8.543166666666668,10.5125,8.543166666666668
2007-11-01,14.23,10.692222222222222,8.7065,8.7065,10.692222222222222,8.7065
2007-12-01,14.76,10.912777777777777,8.874666666666666,8.874666666666666,10.912777777777777,8.874666666666666
2008-01-01,16.74,11.19111111111111,9.0725,9.0725,11.19111111111111,9.0725
2008-02-01,19.62,11.531944444444443,9.322833333333334,9.322833333333334,11.531944444444443,9.322833333333334
2008-03-01,17.99,11.831944444444444,9.548333333333334,9.548333333333334,11.831944444444444,9.548333333333334
2008-04-01,16.47,12.095555555555556,9.746,9.746,12.095555555555556,9.746
2008-05-01,16.85,12.365555555555556,9.950833333333332,9.950833333333332,12.365555555555556,9.950833333333332
2008-06-01,17.65,12.65861111111111,10.169833333333335,10.169833333333335,12.65861111111111,10.169833333333335
2008-07-01,17.48,12.945555555555556,10.376499999999998,10.376499999999998,12.945555555555556,10.376499999999998
2008-08-01,13.76,13.140555555555556,10.520666666666667,10.520666666666667,13.140555555555556,10.520666666666667
2008-09-01,12.96,13.29138888888889,10.651333333333332,10.651333333333332,12.96,10.651333333333332
