report_id,effective_date,report_type,ag_price_usd_troy_oz,knn_mean,band1_low,band1_high,band2_low,band2_high
2009-000022676 Selkirk Metals Corp-f1-01483120_1-1-1,2004-08-01,FS,5.0,6.038749375309504,6.076901298255312,10.06010533698495,3.416653799090172,11.383061876549446
2005-000005784 Tiberon Minerals Ltd-f1-00805816_1-2-1,2005-07-01,FS,6.0,6.0387493753095045,6.076901298255312,10.06010533698495,3.416653799090172,11.383061876549446
2006-000009833 Gammon Lake Resources Inc-f1-00876619_1-1-1,2006-01-01,FS,7.5,7.256868789283679,6.076901298255312,10.06010533698495,3.416653799090172,11.383061876549446
2006-000002178 Silver Standard Resources Inc-f1-00928056_1-1-1,2006-04-01,FS,5.35,7.256868789283679,6.545601965750006,10.686711353074584,3.8101506736817807,12.092369448330935
2007-000024893 Victory Nickel Inc-f1-01128347_2-1-1,2006-11-24,PEA,8.03,9.061016994261863,7.014302633244701,11.313317369164217,4.20364754827339,12.80167702011242
2007-000023730 Australian Solomons Gold Limited-f1-01113702_1-1-1,2007-05-30,FS,12.0,10.624167296667297,7.7785083977073946,12.26949265339653,4.902844594076493,13.884813105454763
2007-000000834 Agnico-Eagle Mines Limited-f1-01161104_1-1-1,2007-08-09,FS,9.59,10.624167296667295,8.030146227882101,12.524263270662125,5.1859245418129545,14.174158627373004
2007-000003212 Taseko Mines Limited-f1-01168446_1-1-2,2007-09-21,FS,8.0,10.79986174111174,8.030146227882101,12.524263270662125,5.1859245418129545,14.174158627373004
2007-000003031 Dia Bras Exploration Inc-f1-01180256_1-1-1,2007-11-09,PEA,10.0,10.933889518889519,8.0301462278821,12.524263270662125,5.185924541812954,14.174158627373004
2007-000014497 European Goldfields Limited-f1-01186774_3-1-1,2007-11-22,PFS,7.0,10.933889518889519,8.237384696668638,12.58111811230731,5.5377780225959095,14.22524485387325
2007-000003448 Sherwood Copper Corporation-f1-01199204_1-1-1,2007-11-30,PFS,12.24,10.933889518889519,8.237384696668638,12.58111811230731,5.5377780225959095,14.22524485387325
2008-000005815 Norsemont Mining Inc-f1-01200489_1-17-1,2007-12-11,PEA,11.0,10.933889518889519,8.237384696668638,12.58111811230731,5.5377780225959095,14.22524485387325
2008-000005970 Inca Pacific Resources Inc-f1-01203599_1-2-1,2008-01-17,FS,12.0,11.042778407778407,8.400374144222972,12.656147809141906,5.778355683136673,14.28990301297454
2008-000003441 Golden Queen Mining Co. Ltd-f1-01212288_1-1-1,2008-01-23,FS,12.0,11.042778407778407,8.400374144222972,12.656147809141906,5.778355683136673,14.28990301297454
2008-000003277 Atna Resources Ltd-f1-01269132_3-1-1,2008-05-08,FS,12.0,11.187778407778408,8.586786797101588,12.761630942539421,6.038665556795137,14.388353847670807
2008-000021638 Coeur d_Alene Mines Corporation-f1-01296030_2-1-1,2008-06-21,FS,11.0,11.392778407778408,9.059692824437612,13.049749093804532,6.7446010682573085,14.724713606991152
2008-000025279 Copper Mountain Mining Corporation-f1-01321217_2-1-1,2008-09-11,FS,11.34001134001134,11.812500630000631,9.910802547351938,13.607571746460811,7.961943970876086,15.355482369093831
2008-000013177 Candente Resource Corp-f1-01357519_3-1-1,2008-11-30,PEA,12.0,12.013333963333963,10.188359669067191,13.834310643376067,8.331687843936225,15.623589792553974
2008-000025315 Andean Resources Limited-f1-01357523_2-1-1,2008-12-01,PFS,13.11,12.013333963333965,10.188359669067191,13.834310643376067,8.331687843936225,15.623589792553974
"2009-000006010 Redhawk Resources, Inc-f1-01380852_1-1-1",2009-02-18,PEA,10.0,12.068889518889518,10.29187515936914,13.877620973962609,8.499428701083326,15.670920330270267
2009-000006087 Gabriel Resources Ltd-f1-01384149_1-1-1,2009-03-04,FS,10.5,12.082778407778408,10.315612585205697,13.868217000353903,8.529928244114469,15.63513707441088
2009-000014092 Skyline Gold Corporation-f1-01384343_1-1-1,2009-03-04,PEA,15.0,12.082778407778408,10.315612585205697,13.868217000353903,8.529928244114469,15.63513707441088
2009-000025297 Sandstorm Resources Ltd-f1-01386230_1-3-1,2009-03-06,PFS,11.95,12.082778407778408,10.376612134776824,13.843912617235548,8.634952034614749,15.569552999532196
2009-000024750 South American Silver Corp-f1-01389824_1-1-1,2009-03-13,PEA,13.3,12.082778407778408,10.376612134776824,13.843912617235548,8.634952034614749,15.569552999532196
2009-000026184 Troy Resources NL-f1-01435696_1-1-1,2009-05-06,FS,11.96,12.16611174111174,10.44033450338386,13.818891924335933,8.75159430269302,15.508709144597162
2009-000006455 Ely Gold & Minerals Inc-f1-01424660_1-1-1,2009-05-08,PEA,13.0,12.16611174111174,10.44033450338386,13.818891924335933,8.75159430269302,15.508709144597162
2009-000013503 Bear Creek Mining Corporation-f1-01430460_1-1-1,2009-05-26,PEA,13.0,12.16611174111174,10.501983361590561,13.866525056903457,8.852191436822501,15.581274827448295
2009-000005760 Sunridge Gold Corp-f1-01443806_1-1-1,2009-06-05,PEA,11.33,12.166111741111742,10.501983361590561,13.866525056903457,8.852191436822501,15.581274827448295
2009-000010193 Chariot Resources Limited-f1-01415384_1-2-1,2009-06-08,FS,11.0,12.166111741111742,10.568857034022521,13.952517048078372,8.946185747766718,15.71350577587842
2009-000022554 Gryphon Gold Corporation-f1-01466880_1-1-1,2009-07-20,PFS,12.0,12.287083648333649,10.659693024156388,14.070886939708544,9.060635575812304,15.883023406916616
2009-000009161 Silver Wheaton Corp-f1-01475484_2-1-1,2009-09-09,FS,12.0,12.440555713055714,10.758741136048688,14.311108100389536,9.156926314041417,16.261660242723114
2009-000005815 Norsemont Mining Inc-f1-01483747_1-1-1,2009-09-28,FS,12.0,12.687777777777779,10.905274593636486,14.678671126115846,9.246150706624492,16.79294377158321
2010-000003295 Tri Origin Exploration Ltd-f1-01524409_1-1-1,2009-12-15,FS,13.0,12.999027777777778,11.497957195094017,16.271915385496534,9.546577917934894,19.094494298739928
2010-000002968 Kinross Gold Corporation-f1-01592433_2-2-1,2010-02-18,FS,12.5,14.000694444444445,11.872505943583812,17.208959672844824,9.750845220500958,20.423752679022982
2010-000008502 Entree Gold Inc-f1-01595887_2-1-1,2010-03-30,PFS,13.5,14.157222222222222,12.027793586538643,17.61503813235083,9.812963716287161,20.987452807911534
