Historic Report Comparison,PEA,PFS,FS
Bias to Trend Mean of Reported Data,0.038301937490462255,0.39369724609402384,-1.8096503663139256
Bias to Trend Mean of Spot Data,-6.854815228757856,-8.796323576000214,-14.889808355895143
Bias to Trend Mean of 3-year,-4.4436978052933975,-4.4183120622598695,-7.761174002659099
Bias to Trend Mean of 5 year,0.767831985170418,0.9755278840592749,-1.4593351210972412
