report_id,effective_date,report_type,pb_price_usd_dmt,knn_mean,band1_low,band1_high,band2_low,band2_high
2010-000026045 Zazu Metals Corporation-f1-01563280_1-1-1,2010-04-08,PEA,1763.696,1919.299550636583,1339.9240840260345,2139.089909682406,760.548617415486,2358.880268728229
2010-000029868 Tahoe Resources Inc-f1-01574564_1-1-1,2010-04-30,,1543.234,1919.299550636583,1339.9240840260345,2139.089909682406,760.548617415486,2358.880268728229
2011a-000013727 MAG Silver Corp-f1-01686802_1-1-1,2010-09-08,,1763.696,1919.299550636583,1339.9240840260345,2139.0899096824064,760.548617415486,2358.880268728229
2010-000003851 Salazar Resources Limited-f1-01641644_1-2-1,2010-09-24,,1984.158,1919.299550636583,1339.9240840260345,2139.089909682406,760.548617415486,2358.8802687282296
2010-000005208 SOHO Resources Corp-f1-01651891_1-1-1,2010-10-29,PEA,2094.389,1919.299550636583,1339.9240840260345,2139.089909682406,760.548617415486,2358.8802687282296
2010-000017006 Aquila Resources Inc-f1-01670111_1-1-1,2010-11-29,MRE,1543.234,1919.299550636583,1339.9240840260345,2139.089909682406,760.548617415486,2358.8802687282296
2011a-000002432 Pan American Silver Corp-f1-01687065_1-1-1,2011-01-14,PEA,1950.0,1919.299550636583,1339.9240840260345,2139.0899096824064,760.548617415486,2358.8802687282296
2011a-000001640 IMPACT Silver Corp-f1-01695177_1-1-1,2011-01-28,MRE,1785.7422,1919.299550636583,1339.9240840260345,2139.0899096824064,760.548617415486,2358.8802687282296
2011a-000000880 NovaGold Resources Inc-f1-01743319_1-1-1,2011-05-09,,2204.62,1919.299550636583,1339.9240840260345,2139.089909682406,760.548617415486,2358.880268728229
2011b-000004187 Mediterranean Resources Ltd-f1-01789335_1-1-1,2011-06-14,PEA,1873.927,1919.299550636583,1339.9240840260345,2139.089909682406,760.548617415486,2358.8802687282296
2011b-000021551 Selwyn Resources Ltd-f1-01761763_1-12-1,2011-07-06,MRE,2535.313,1919.299550636583,1339.9240840260345,2139.089909682406,760.548617415486,2358.8802687282296
2011b-000024219 Zincore Metals Inc-f1-01826319_1-1-1,2011-09-01,PEA,1918.0194,1923.7087906365832,1343.0023147619775,2144.0040778695657,762.2958388873719,2364.299365102549
2012-000019735 Andover Mining Corp-f1-01847454_1-1-1,2011-11-17,,1984.158,1933.6295806365833,1349.9283339178492,2155.0609562906748,766.227087199115,2376.4923319447666
2011b-000006077 Stratabound Minerals Corp-f1-01836274_1-1-1,2011-11-23,PEA,2425.082,1925.9134106365832,1344.541430129949,2146.4611619631455,763.1694496233149,2367.0089132897083
2011b-000013503 Bear Creek Mining Corporation-f1-01843253_1-1-1,2011-12-22,FS,1873.927,1920.6223226365832,1340.8475532468176,2140.564160138554,761.0727838570517,2360.5059976405255
2012-000006210 SILVERCORP METALS INC-f1-01856000_1-1-1,2012-01-23,,2204.62,1913.1266146365833,1335.6145609957148,2132.210074220383,758.102507354846,2351.2935338041825
2012-000004927 LEVON RESOURCES LTD-f1-01871272_1-1-1,2012-03-12,PEA,2116.4352,1905.6309066365834,1330.3815687446117,2123.8559883022112,755.13223085264,2342.0810699678395
2012-000030669 Ivanhoe Australia Limited-f1-01915126_1-1-1,2012-04-16,,0.0,1892.0833806365838,1320.9236097926866,2108.7570548615467,749.76383894879,2325.43072908651
2012-000008090 Huakan International Mining Inc-f1-01920382_1-1-1,2012-04-24,,2176.196212731668,1900.3615926365833,1326.7028929836792,2117.983253947322,753.0441933307748,2335.60491525806
2012-000002753 CANADIAN ZINC CORPORATION-f1-01942300_1-1-1,2012-06-15,,2645.544,1904.0101026365835,1329.2500339019316,2122.0495764365796,754.4899651672796,2340.089050236575
2012-000006210 SILVERCORP METALS INC-f1-01984618_6-1-1,2012-06-27,,2204.62,1913.1701626365837,1335.6449632401127,2132.2586091597864,758.1197638436417,2351.347055682989
2012-000013727 MAG Silver Corp-f1-01932793_1-1-1,2012-07-01,,2094.389,1914.8345146365834,1336.8069003271908,2134.113555964822,758.7792860177977,2353.39259729306
2012-000003827 Wildcat Silver Corporation-f1-01981481_3-1-1,2012-11-12,PEA,0.0,1921.8892986365834,1341.7320695046992,2141.976225064277,761.5748403728151,2362.063151491971
2013-000030715 Chieftain Metals Inc-f1-02009167_1-1-1,2012-12-12,,2226.6662,1926.9599246365833,1345.2720348510334,2147.627518479511,763.5841450654837,2368.2951123224384
2012-000031912 Sunshine Silver Mines Corporation-f1-02001215_1-2-1,2012-12-21,,1873.927,1930.9282406365833,1348.042442513382,2152.0502698479545,765.1566443901809,2373.1722990593253
2013-000012585 Scorpio Mining Corporation-f1-02063975_1-1-1,2012-12-31,PEA,1984.158,1934.8965566365835,1350.8128501757308,2156.473021216398,766.7291437148782,2378.0494857962126
2013-000009013 Apogee Silver Ltd-f1-02022833_1-1-1,2013-01-17,FS,1895.9732,1942.2379412365833,1355.9381043510757,2164.6551112480192,769.6382674655681,2387.072281259454
2013-000026723 Southeast Asia Mining Corp-f1-02065996_1-1-1,2013-03-31,,2204.62,1944.5086998365834,1357.5233931800863,2167.185907864406,770.5380865235894,2389.8631158922285
2013-000023995 Arian Silver Corporation-f1-02065398_1-1-1,2013-05-23,,1984.158,1966.6210384365834,1372.9607203208402,2191.8304613230116,779.3004022050968,2417.0398842094396
2013-000008209 El Nino Ventures Inc-f1-02086368_1-1-1,2013-06-04,PEA,2204.62,1992.324544909267,1390.905156016271,2220.4774285569374,789.4857671232752,2448.630312204607
2013-000029631 Pan American Goldfields Ltd-f1-02088952_2-1-1,2013-07-24,PEA,2226.6662,2010.3118813819503,1403.4626879238017,2240.5246014633326,796.6134944656535,2470.737321544715
2013-000024219 Zincore Metals Inc-f1-02102106_1-1-1,2013-08-06,PFS,2403.0358,2026.9103072546338,1415.0505771495107,2259.0238113907735,803.1908470443875,2491.137315526913
"2013-000029836 Silver Bull Resources, Inc-f1-02133395_2-1-1",2013-09-30,PEA,2204.62,2044.3905811273173,1427.2541125224081,2278.505854955646,810.117643917499,2512.6211287839747
2013-000022850 Alexco Resource Corp-f1-02146314_2-1-1,2013-11-15,,2094.389,2063.8550130000003,1440.8428517264797,2300.19927420474,817.8306904529587,2536.54353540948
2013-000016057 Tamerlane Ventures Inc-f1-02146900_2-1-1,2013-12-13,OTHER,2204.62,2079.507815000001,1451.7705708390768,2317.6445712691566,824.0333266781533,2555.781327538313
2017-000002068 SOLITARIO EXPLORATION & ROYALTY CORP-f1-02649783_1-1-1,2014-03-03,PEA,2233.28006,2100.672167,1466.546078371603,2341.2325785675225,832.4199897432052,2581.792990135045
