report_id,effective_date,report_type,cad_rate,knn_mean,band1_low,band1_high,band2_low,band2_high
2007-000003448 Sherwood Copper Corporation-f1-01199204_1-1-1,2007-11-30,PFS,1.0,1.071965,1.0073969607355135,1.1494699196166018,0.9428289214710269,1.2269748392332036
2007-000007781 Independent Nickel Corp-f1-01195133_1-1-1,2007-12-05,,1.15,1.071965,1.0073969607355135,1.1494699196166018,0.9428289214710269,1.2269748392332036
2008-000004246 Vista Gold Corp-f1-01205410_1-1-1,2008-01-09,PEA,1.0,1.071965,1.0073969607355135,1.1494699196166018,0.9428289214710269,1.2269748392332036
2008-000000880 NovaGold Resources Inc-f1-01212400_1-1-1,2008-01-25,MRE,1.11,1.071965,1.0073969607355135,1.1494699196166018,0.9428289214710269,1.2269748392332036
2008-000026704 PC Gold Inc-f1-01232671_1-1-1,2008-01-25,OTHER,1.0132,1.071965,1.0073969607355135,1.1494699196166018,0.9428289214710269,1.2269748392332036
2009-000004246 Vista Gold Corp-f1-01381024_1-1-1,2008-03-15,MRE,1.3333,1.071965,1.0073969607355135,1.1494699196166018,0.9428289214710269,1.2269748392332036
2008-000001913 Northgate Minerals Corporation-f1-01302144_4-1-1,2008-04-01,PEA,1.1111,1.071965,1.0073969607355135,1.1494699196166018,0.9428289214710269,1.2269748392332036
2008-000023811 First Metals Inc-f1-01253557_1-1-1,2008-04-07,PFS,1.1111,1.071965,1.0073969607355135,1.1494699196166018,0.9428289214710269,1.2269748392332036
2008-000011539 Alexis Minerals Corporation-f1-01246209_2-1-1,2008-04-08,,1.0,1.071965,1.0073969607355135,1.1494699196166018,0.9428289214710269,1.2269748392332036
2008-000009374 Starfield Resources Inc-f1-01258110_1-1-1,2008-04-30,PEA,1.11,1.071965,1.0073969607355135,1.1494699196166018,0.9428289214710269,1.2269748392332036
2008-000009151 LIBERTY MINES INC-f1-01268623_1-1-1,2008-05-16,,1.0204,1.071965,1.0073969607355135,1.1494699196166018,0.9428289214710269,1.2269748392332036
2008-000000523 Shore Gold Inc-f1-01294737_3-1-1,2008-06-09,MRE,1.02,1.0724909999999999,1.0078912779952625,1.1500339503244312,0.943291555990525,1.2275769006488624
2008-000023904 Cadiscor Resources Inc-f1-01327410_1-1-1,2008-06-17,,1.0,1.07227,1.0076835895648357,1.1497969716430048,0.9430971791296713,1.2273239432860095
2008-000003240 ST ANDREW GOLDFIELDS LTD-f1-01291360_1-1-1,2008-07-09,,1.05,1.072575,1.007970218394158,1.1501240236694077,0.9433654367883155,1.2276730473388153
2008-000025279 Copper Mountain Mining Corporation-f1-01321217_2-1-1,2008-09-11,FS,1.0526,1.072891,1.0082671846566686,1.1504628710147957,0.9436433693133373,1.2280347420295914
2008-000017383 Manicouagan Minerals Inc-f1-01321090_1-1-1,2008-09-12,,1.0965,1.074875,1.0101316816972428,1.1525903176390038,0.9453883633944858,1.2303056352780075
2008-000003832 Halo Resources Ltd-f1-01328625_2-1-1,2008-09-15,MRE,1.0,1.0741109999999998,1.0094136999739571,1.1517710791204077,0.9447163999479145,1.229431158240815
2008-000001691 HudBay Minerals Inc-f1-01323392_3-1-1,2008-09-19,,1.1,1.074748,1.0100123313322464,1.1524541353198132,0.9452766626644931,1.2301602706396264
2008-000022200 TTM Resources Inc-f1-01329563_2-1-1,2008-10-07,PEA,1.1111,1.074348,1.0096364246708402,1.1520252146294485,0.9449248493416809,1.229702429258897
2008-000020132 Cogitore Resources Inc-f1-01357048_1-1-1,2008-10-24,,1.05,1.0764369999999999,1.0115995972100336,1.1542652529348776,0.9467621944200676,1.2320935058697549
2008-000024893 Victory Nickel Inc-f1-01354993_1-1-1,2008-11-05,,1.0526,1.075758,1.010961495652297,1.1535371600629838,0.9461649913045939,1.2313163201259671
2008-000025315 Andean Resources Limited-f1-01357523_2-1-1,2008-12-01,PFS,1.0753,1.0788620000000002,1.0138785313448084,1.1568655846202127,0.948895062689617,1.2348691692404252
2008-000015687 Strateco Resources Inc-f1-01359415_3-1-1,2008-12-17,,1.0526,1.083412,1.018154469618303,1.1617445574731096,0.952896939236606,1.2400771149462189
2009-000007862 Golden Band Resources Inc-f1-01384353_1-1-1,2009-01-16,PFS,1.1111,1.089584,1.0261768246220744,1.1676294236217006,0.9627696492441485,1.245674847243401
2009-000003273 Osisko Mining Corporation-f1-01373072_1-6-1,2009-02-12,MRE,1.18,1.0938670000000001,1.0324301186810572,1.171486679355546,0.970993237362114,1.2491063587110918
2009-000001166 Comaplex Minerals Corp-f1-01377866_2-1-1,2009-02-20,PEA,1.1111,1.101224,1.041592151361829,1.178633624203385,0.981960302723658,1.2560432484067696
2009-000005733 Sabina Silver Corporation-f1-01407382_1-1-1,2009-02-26,MRE,1.1765,1.1080550000000002,1.0502702985388772,1.1852130954785722,0.9924855970777546,1.262371190957144
2009-000002878 Banro Corporation-f1-01381509_1-1-1,2009-02-27,FS,1.06,1.117806,1.0617431608806611,1.1949069890674227,1.0056803217613222,1.2720079781348452
2009-000009025 IAMGOLD Corporation-f1-01384641_1-1-3,2009-02-27,,1.25,1.117806,1.0617431608806611,1.1949069890674227,1.0056803217613222,1.2720079781348452
2009-000005425 NEMI Northern Energy & Mining Inc-f1-01388105_1-1-1,2009-03-02,FS,1.0,1.12234,1.0660497610343844,1.1997537230162758,1.009759522068769,1.2771674460325515
2009-000006087 Gabriel Resources Ltd-f1-01384149_1-1-1,2009-03-04,FS,1.23,1.126999,1.0704750918937134,1.2047340788759375,1.0139511837874267,1.282469157751875
2009-000014092 Skyline Gold Corporation-f1-01384343_1-1-1,2009-03-04,PEA,1.1765,1.126999,1.0704750918937134,1.2047340788759375,1.0139511837874267,1.282469157751875
2009-000003026 North American Palladium Ltd-f1-01386739_1-1-1,2009-03-13,MRE,1.1111,1.13402,1.0771439581661642,1.2122393543622405,1.0202679163323283,1.290458708724481
2009-000004446 Ontex Resources Limited-f1-01422283_1-1-1,2009-05-04,,1.1111,1.1383579999999998,1.081264388573498,1.2168765691549455,1.024170777146996,1.2953951383098912
2009-000025019 MVE Capital Corp-f1-01430818_1-1-1,2009-05-25,,1.25,1.143655,1.0862957209542377,1.222538931247375,1.0289364419084752,1.30142286249475
2009-000025547 Garson Gold Corp-f1-01435503_1-1-1,2009-05-30,,1.2,1.1526900000000002,1.0948775763554046,1.2321971229606279,1.037065152710809,1.3117042459212553
2009-000022748 Explorator Resources Inc-f1-01441034_2-1-1,2009-05-30,PEA,1.0,1.1526900000000002,1.0948775763554046,1.2321971229606279,1.037065152710809,1.3117042459212553
2009-000010193 Chariot Resources Limited-f1-01415384_1-2-1,2009-06-08,FS,1.24,1.154681,1.0967687190342894,1.2343254527559888,1.0388564380685783,1.3139699055119771
2009-000002178 Silver Standard Resources Inc-f1-01445535_1-1-1,2009-06-12,,1.1236,1.15597,1.0979930700704932,1.235703361900248,1.0400161401409866,1.315436723800496
2009-000011769 Fronteer Development Group Inc-f1-01488718_3-1-1,2009-08-01,PEA,1.136,1.155475,1.0975228964762955,1.2351742191334456,1.0395707929525908,1.3148734382668912
2009-000003240 ST ANDREW GOLDFIELDS LTD-f1-01455927_1-1-1,2009-08-06,MRE,1.1765,1.1557,1.0977366117463851,1.235414738572901,1.0397732234927708,1.3151294771458024
2009-000005589 International Wayside Gold Mines Ltd-f1-01488666_1-1-1,2009-08-17,PFS,1.1765,1.15516,1.0972236950981695,1.2348374919182077,1.039287390196339,1.3145149838364154
2009-000009568 Lake Shore Gold Corp-f1-01483540_3-1-1,2009-08-28,,1.1628,1.1543260000000002,1.0964315238303695,1.233945966529292,1.038537047660739,1.313565933058584
2009-000022426 MINCO SILVER CORPORATION-f1-01496862_1-1-1,2009-09-01,,1.2195,1.152681,1.094869027744601,1.2321875021830495,1.0370570554892018,1.3116940043660992
2009-000008250 Northland Resources Inc-f1-01487781_2-1-1,2009-10-20,PEA,1.25,1.1512630000000001,1.0942192798328543,1.229966973926421,1.0371755596657086,1.3086709478528418
2009-000004771 0373849 B.C. Ltd-f1-01518222_1-1-1,2009-12-14,PFS,1.1111,1.1474250000000001,1.0912678611974544,1.2251626028755653,1.0351107223949088,1.302900205751131
