report_id,effective_date,report_type,cu_price_usd_dmt,knn_mean,band1_low,band1_high,band2_low,band2_high
2007-000025906 Centenario Copper Corporation-f1-01159654_1-2-2,2007-08-31,FS,2866.006,4339.332469999999,3367.582813974788,5552.052805285739,2395.833157949577,6764.773140571478
2007-000007056 Formation Capital Corporation-f1-01158950_1-1-1,2007-09-14,,5070.625999999999,4339.332469999999,3367.582813974788,5552.052805285739,2395.833157949577,6764.773140571478
2007-000003212 Taseko Mines Limited-f1-01168446_1-1-2,2007-09-21,FS,3306.93,4339.332469999999,3367.582813974788,5552.052805285739,2395.833157949577,6764.773140571478
2007-000026163 Nord Resources Corporation-f1-01181885_1-9-1,2007-09-28,FS,5401.319,4339.332469999999,3367.582813974788,5552.052805285739,2395.833157949577,6764.773140571478
2007-000026138 Marengo Mining Limited-f1-01180022_1-1-1,2007-11-01,PEA,3306.93,4339.332469999999,3367.582813974788,5552.052805285739,2395.833157949577,6764.773140571478
2007-000003031 Dia Bras Exploration Inc-f1-01180256_1-1-1,2007-11-09,PEA,4409.24,4339.332469999999,3367.582813974788,5552.052805285739,2395.833157949577,6764.773140571478
2007-000003448 Sherwood Copper Corporation-f1-01199204_1-1-1,2007-11-30,PFS,5533.596199999999,4339.332469999999,3367.582813974788,5552.052805285739,2395.833157949577,6764.773140571478
2007-000007781 Independent Nickel Corp-f1-01195133_1-1-1,2007-12-05,,4695.8406,4339.332469999999,3367.582813974788,5552.052805285739,2395.833157949577,6764.773140571478
2008-000005815 Norsemont Mining Inc-f1-01200489_1-17-1,2007-12-11,PEA,3968.316,4339.332469999999,3367.582813974788,5552.052805285739,2395.833157949577,6764.773140571478
2008-000003832 Halo Resources Ltd-f1-01204651_1-1-1,2007-12-19,MRE,4400.0,4339.332469999999,3367.582813974788,5552.052805285739,2395.833157949577,6764.773140571478
2007-000002465 CONSTELLATION COPPER CORPORATION-f1-01202191_2-1-1,2007-12-20,PEA,5511.549999999999,4339.332469999999,3367.582813974788,5552.052805285739,2395.833157949577,6764.773140571478
2008-000005970 Inca Pacific Resources Inc-f1-01203599_1-2-1,2008-01-17,FS,3306.93,4332.718609999999,3362.4500610861774,5543.590559025367,2392.1815121723557,6754.462508050734
2008-000000880 NovaGold Resources Inc-f1-01212400_1-1-1,2008-01-25,MRE,3417.161,4308.46779,3343.629967161271,5512.562322737338,2378.792144322543,6716.6568554746755
2008-000000042 International Barytex Resources Ltd-f1-01230071_1-1-1,2008-01-30,PEA,3306.93,4287.523899999999,3327.3762496806703,5485.765209579494,2367.2285993613414,6684.006519158987
2008-000008502 Entree Gold Inc-f1-01238160_1-1-1,2008-03-26,,2976.237,4269.886939999999,3313.688908644375,5463.199219551837,2357.49087728875,6656.511499103673
2008-000003532 International Minerals Corporation-f1-01235618_1-1-1,2008-03-26,PFS,5511.549999999999,4269.886939999999,3313.688908644375,5463.199219551837,2357.49087728875,6656.511499103673
2008-000023811 First Metals Inc-f1-01253557_1-1-1,2008-04-07,PFS,6569.767599999999,4258.86384,3305.1343204966906,5449.09547578455,2351.4048009933804,6639.3271115690995
2008-000004159 Far West Mining Ltd-f1-01267122_1-1-1,2008-04-30,PEA,3306.93,4266.485300091476,3311.0490316184796,5458.846917780249,2355.612763145483,6651.208535469021
2008-000009374 Starfield Resources Inc-f1-01258110_1-1-1,2008-04-30,PEA,4409.24,4266.485300091476,3311.0490316184796,5458.846917780249,2355.612763145483,6651.208535469021
2008-000023611 Linear Metals Corporation-f1-01283852_1-1-1,2008-05-06,MRE,5511.549999999999,4292.783154137214,3331.4577470006507,5492.494276063361,2370.132339864088,6692.205397989508
2008-000020335 Quadra Mining Ltd-f1-01268597_1-1-1,2008-05-16,PEA,2204.62,4297.127208182953,3334.828994041191,5498.052369990871,2372.530779899429,6698.97753179879
2008-000020823 Equinox Minerals Limited-f1-01282420_1-1-1,2008-06-01,FS,3306.93,4321.31284222869,3353.598499747563,5528.997202699496,2385.884157266435,6736.681563170301
2009-000025132 Coro Mining Corp-f1-01424004_1-1-1,2008-06-18,PEA,3637.623,4395.03955022869,3410.8148565278343,5623.3284342439365,2426.5901628269785,6851.617318259183
2008-000004513 Buchans River Ltd-f1-01295302_2-1-1,2008-07-22,,5511.549999999999,4470.089030228691,3469.057763885828,5719.352115040453,2468.0264975429664,6968.615199852214
2008-000009698 Virgin Metals Inc-f1-01320310_2-1-1,2008-07-28,PFS,5511.549999999999,4562.77547022869,3540.9880122801173,5837.941785864627,2519.200554331545,7113.108101500562
2008-000003827 Wildcat Silver Corporation-f1-01309358_1-1-1,2008-08-07,OTHER,2425.082,4680.722640228691,3632.522105460344,5988.851844174589,2584.321570691998,7296.981048120487
2008-000025279 Copper Mountain Mining Corporation-f1-01321217_2-1-1,2008-09-11,FS,4437.573804573804,4787.646710228691,3715.5016104928864,6125.658158717265,2643.356510757082,7463.66960720584
2008-000017383 Manicouagan Minerals Inc-f1-01321090_1-1-1,2008-09-12,,6657.9524,4839.89620422869,3756.0503583129116,6192.509904174202,2672.204512397133,7545.1236041197135
2008-000003832 Halo Resources Ltd-f1-01328625_2-1-1,2008-09-15,MRE,5511.549999999999,4871.771907521977,3780.7878199699653,6233.293962347542,2689.803732417953,7594.816017173109
2008-000001691 HudBay Minerals Inc-f1-01323392_3-1-1,2008-09-19,,4409.24,4870.74827830643,3779.9934221730705,6231.984257802653,2689.238566039712,7593.220237298874
2008-000027145 Tiger Resources Limited-f1-01332326_3-1-1,2008-10-07,FS,5511.549999999999,4833.348419090882,3739.1808818568375,6162.084955952993,2645.013344622793,7490.821492815105
2008-000020132 Cogitore Resources Inc-f1-01357048_1-1-1,2008-10-24,,7165.014999999999,4836.424280765334,3729.4163723104875,6143.293217439922,2622.40846385564,7450.16215411451
2009-000002894 Abacus Mining & Exploration Corp-f1-01382375_1-1-1,2008-10-31,MRE,5511.549999999999,4853.389248439786,3730.4578575320497,6142.323094191264,2607.5264666243133,7431.256939942742
2008-000024893 Victory Nickel Inc-f1-01354993_1-1-1,2008-11-05,,6613.86,4877.500286820953,3736.9498751829574,6150.318022293745,2596.3994635449626,7423.135757766538
2008-000004130 KINBAURI GOLD CORP-f1-01345065_2-1-1,2008-11-14,MRE,5511.549999999999,4890.418257710951,3734.891468206225,6144.246228633476,2579.3646787014977,7398.074199555999
2008-000013177 Candente Resource Corp-f1-01357519_3-1-1,2008-11-30,PEA,4409.24,4898.9269886009515,3741.3897235152094,6154.936467162441,2583.8524584294664,7410.94594572393
"2009-000006010 Redhawk Resources, Inc-f1-01380852_1-1-1",2009-02-18,PEA,4960.395,4912.595632600952,3751.828687866991,6172.109541104555,2591.06174313303,7431.623449608158
2009-000005733 Sabina Silver Corporation-f1-01407382_1-1-1,2009-02-26,MRE,3363.939929328621,4928.185558555214,3763.734966301301,6191.696484122796,2599.284374047388,7455.207409690379
2009-000009025 IAMGOLD Corporation-f1-01384641_1-1-3,2009-02-27,,4426.236749116607,4926.799910509476,3762.676724492269,6189.955577245186,2598.553538475062,7453.111243980896
2009-000014092 Skyline Gold Corporation-f1-01384343_1-1-1,2009-03-04,PEA,4409.24,4919.902712463738,3757.40922286397,6181.290043778014,2594.915733264202,7442.677375092289
2009-000004130 KINBAURI GOLD CORP-f1-01384831_1-1-1,2009-03-06,PEA,5149.882089,4928.437854418,3763.9276487296183,6192.013464761616,2599.4174430412368,7455.58907510523
2009-000024750 South American Silver Corp-f1-01389824_1-1-1,2009-03-13,PEA,3086.468,4826.9624583722625,3686.4292486026993,6064.521339017559,2545.8960388331366,7302.080219662856
2009-000003026 North American Palladium Ltd-f1-01386739_1-1-1,2009-03-13,MRE,4409.24,4826.9624583722625,3686.4292486026993,6064.521339017559,2545.8960388331366,7302.080219662856
2009-000005955 Serengeti Resources Inc-f1-01403700_1-1-1,2009-04-08,MRE,4409.24,4760.823858372261,3635.918130771496,5981.425819942815,2511.0124031707305,7202.027781513369
2009-000022748 Explorator Resources Inc-f1-01441034_2-1-1,2009-05-30,PEA,3968.316,4718.581308372262,3603.6568125618505,5928.352930294548,2488.7323167514387,7138.124552216835
2009-000005760 Sunridge Gold Corp-f1-01443806_1-1-1,2009-06-05,PEA,5886.3354,4667.5202783722625,3564.660678641377,5864.200638102982,2461.801078910493,7060.880997833704
2009-000010193 Chariot Resources Limited-f1-01415384_1-2-1,2009-06-08,FS,4409.24,4627.482348372262,3534.083064359438,5813.897599090541,2440.683780346615,7000.312849808821
2009-000024169 Moly Mines Limited-f1-01465727_1-1-1,2009-08-25,OTHER,5732.012,4620.513718372263,3545.792316484888,5753.286635053133,2471.070914597514,6886.0595517340025
2009-000003958 OPAWICA EXPLORATIONS INC-f1-01472014_3-1-1,2009-08-31,MRE,3858.085,4635.021189078976,3574.095374184429,5719.072837583541,2513.169559289883,6803.124486088105
2009-000009161 Silver Wheaton Corp-f1-01475484_2-1-1,2009-09-09,FS,4409.24,4641.997292294524,3596.6434802415874,5675.406259344145,2551.2896681886514,6708.815226393766
2009-000005815 Norsemont Mining Inc-f1-01483747_1-1-1,2009-09-28,FS,4409.24,4657.791875510071,3625.9264020095725,5642.819083648048,2594.0609285090736,6627.846291786026
2009-000008808 Aura Minerals Inc-f1-01483612_5-1-1,2009-09-30,PEA,4409.24,4681.61237783562,3661.486390570231,5619.86632209604,2641.3604033048437,6558.12026635646
2009-000008483 Anatolia Minerals Development Limited-f1-01484954_2-1-1,2009-10-02,MRE,4409.24,4719.7629101611665,3691.3239003060507,5665.662700455219,2662.8848904509346,6611.562490749273
2009-000003295 Tri Origin Exploration Ltd-f1-01495592_1-1-1,2009-10-09,MRE,7350.0,4725.414241780001,3695.7438035660734,5672.446629938584,2666.0733653521465,6619.479018097167
