,report_id,effective_date,report_type,au_price_usd_troy_oz,reported_gold_price_rolling_40_mean,reported_gold_price_rolling_40_std,reported_gold_price_upper_1STD,reported_gold_price_lower_1STD,reported_gold_price_upper_2STD,reported_gold_price_lower_2STD
36,2008-000011266 Committee Bay Resources Ltd-f1-01213169_1-1-1,2008-02-01,,821.9699999999998,551.6479092014877,88.29875614502117,639.9466653465088,463.3491530564665,728.24542149153,375.0503969114453
37,2008-000008483 Anatolia Minerals Development Limited-f1-01213214_1-1-1,2008-02-04,PEA,574.0,552.2361221172381,87.17280140816428,639.4089235254023,465.0633207090738,726.5817249335666,377.89051930090955
38,2008-000000880 NovaGold Resources Inc-f1-01221160_2-1-1,2008-02-05,MRE,650.0,554.742888216796,87.43107133798331,642.1739595547793,467.3118168788127,729.6050308927627,379.88074554082937
39,2008-000005820 Amarillo Gold Corp-f1-01234642_1-1-1,2008-02-29,PEA,800.0,560.8743160113761,94.61481690624917,655.4891329176253,466.2594991051269,750.1039498238745,371.6446821988777
40,2008-000002073 Apollo Gold Corporation-f1-01248121_1-1-1,2008-02-29,FS,750.0,568.3743160113761,97.44847289894147,665.8227889103175,470.9258431124346,763.271261809259,373.47737021349315
41,2008-000010138 PACIFIC RIM MINING CORP-f1-01225097_1-1-1,2008-03-03,,400.0,564.6243160113761,100.99527594264462,665.6195919540207,463.62904006873146,766.6148678966654,362.6337641260868
42,2008-000005729 Midway Gold Corp-f1-01226994_1-1-1,2008-03-07,MRE,650.0,568.7493160113761,101.0293350979159,669.778651109292,467.7199809134602,770.8079862072079,366.69064581554426
43,2008-000001815 Olympus Pacific Minerals Inc-f1-01247315_1-1-1,2008-03-26,,600.0,572.4993160113761,99.27723945253713,671.7765554639133,473.222076558839,771.0537949164503,373.94483710630186
44,2008-000008502 Entree Gold Inc-f1-01238160_1-1-1,2008-03-26,,650.0,576.2493160113761,99.3014764596934,675.5507924710695,476.9478395516827,774.8522689307629,377.6463630919893
45,2008-000003532 International Minerals Corporation-f1-01235618_1-1-1,2008-03-26,PFS,650.0,580.8743160113761,98.29021313563813,679.1645291470143,482.584102875738,777.4547422826523,384.29388974009987
46,2008-000001913 Northgate Minerals Corporation-f1-01302144_4-1-1,2008-04-01,PEA,635.0,584.2493160113761,97.75833410712961,682.0076501185057,486.4909819042465,779.7659842256353,388.7326477971169
47,2008-000011539 Alexis Minerals Corporation-f1-01246209_2-1-1,2008-04-08,,829.0,592.4743160113761,104.12146613243699,696.5957821438132,488.35284987893914,800.7172482762501,384.23138374650216
48,2008-000001166 Comaplex Minerals Corp-f1-01256145_2-1-1,2008-04-18,MRE,550.0,595.5993160113761,100.78864718708647,696.3879631984626,494.8106688242897,797.1766103855491,394.0220216372032
49,2008-000004159 Far West Mining Ltd-f1-01267122_1-1-1,2008-04-30,PEA,635.0,595.2243160113761,100.60879544956168,695.8331114609377,494.61552056181444,796.4419069104995,394.00672511225275
