id,report_id,effective_date,report_type,cu_price_usd_dmt,reported_copper_price_rolling_40_mean,reported_copper_price_rolling_40_std,reported_copper_price_upper_1STD,reported_copper_price_lower_1STD,reported_copper_price_upper_2STD,reported_copper_price_lower_2STD
20,2008-000023611 Linear Metals Corporation-f1-01283852_1-1-1,2008-05-06,MRE,5511.549999999999,4290.170447619047,1088.2944140463862,5378.464861665433,3201.876033572661,6466.75927571182,2113.5816195262746
21,2008-000020335 Quadra Mining Ltd-f1-01268597_1-1-1,2008-05-16,PEA,2204.62,4195.3727,1151.386530965728,5346.759230965728,3043.986169034272,6498.145761931456,1892.5996380685438
22,2008-000020823 Equinox Minerals Limited-f1-01282420_1-1-1,2008-06-01,FS,3306.93,4156.744756521739,1140.0662168619695,5296.810973383708,3016.6785396597697,6436.877190245677,1876.6123227978
23,2008-000025543 Paramount Gold and Silver Corp-f1-01285714_1-1-1,2008-06-13,MRE,8818.48,4350.983724999999,1465.8549422500485,5816.838667250047,2885.128782749951,7282.6936095000965,1419.2738404999022
24,2008-000024059 ATW Venture Corp-f1-01283919_2-1-1,2008-06-13,OTHER,9511.0,4557.384375999999,1767.5494289348367,6324.933804934835,2789.8349470651624,8092.483233869672,1022.2855181303257
25,2009-000025132 Coro Mining Corp-f1-01424004_1-1-1,2008-06-18,PEA,3637.623,4522.0089384615385,1741.2061065496325,6263.215045011171,2780.8028319119057,8004.421151560804,1039.5967253622734
26,2008-000004513 Buchans River Ltd-f1-01295302_2-1-1,2008-07-22,,5511.549999999999,4558.6586074074075,1717.9806213344714,6276.6392287418785,2840.677986072936,7994.61985007635,1122.6973647384648
27,2008-000009698 Virgin Metals Inc-f1-01320310_2-1-1,2008-07-28,PFS,5511.549999999999,4592.690442857142,1695.4565228138306,6288.146965670973,2897.2339200433116,7983.603488484803,1201.7773972294813
28,2008-000003827 Wildcat Silver Corporation-f1-01309358_1-1-1,2008-08-07,OTHER,2425.082,4517.945324137931,1712.8711732419436,6230.816497379874,2805.0741508959873,7943.687670621817,1092.2029776540435
29,2008-000025279 Copper Mountain Mining Corporation-f1-01321217_2-1-1,2008-09-11,FS,4437.573804573804,4515.266273485793,1683.1438014377948,6198.410074923588,2832.1224720479986,7881.553876361382,1148.9786706102036
30,2008-000017383 Manicouagan Minerals Inc-f1-01321090_1-1-1,2008-09-12,,6657.9524,4584.385180792703,1699.0116965089417,6283.396877301645,2885.373484283761,7982.408573810586,1186.3617877748197
31,2008-000003832 Halo Resources Ltd-f1-01328625_2-1-1,2008-09-15,MRE,5511.549999999999,4613.359081392931,1679.4007511022776,6292.759832495209,2933.958330290654,7972.160583597486,1254.5575791883762
32,2008-000001691 HudBay Minerals Inc-f1-01323392_3-1-1,2008-09-19,,4409.24,4607.173654684055,1653.333709912534,6260.507364596589,2953.839944771521,7913.841074509122,1300.5062348589868
33,2008-000027145 Tiger Resources Limited-f1-01332326_3-1-1,2008-10-07,FS,5511.549999999999,4633.772958958052,1635.4615342932211,6269.234493251273,2998.311424664831,7904.696027544494,1362.84989037161
34,2008-000020132 Cogitore Resources Inc-f1-01357048_1-1-1,2008-10-24,,7165.014999999999,4706.0941601306795,1667.07175469719,6373.1659148278695,3039.0224054334894,8040.23766952506,1371.9506507362994
