date,gold_price,gold_price_3y,gold_price_5y,gold_price_price_floor,silver_price,silver_price_3y,silver_price_5y,silver_price_price_floor,zinc_price,zinc_price_3y,zinc_price_5y,zinc_price_price_floor,copper_price,copper_price_3y,copper_price_5y,copper_price_price_floor,lead_price,lead_price_3y,lead_price_5y,lead_price_price_floor,cad_usd
2008-09-01,897.0,706.375,590.9241666666666,590.9241666666666,12.96,13.29138888888889,10.651333333333332,10.651333333333332,1744.52272727273,2837.1302979350357,2152.6194395670223,1744.52272727273,6975.11363636364,6974.992882477017,5380.814136001097,5380.814136001097,1872.30681818182,1969.9702804006245,1532.624457555147,1532.624457555147,1.0582
2008-10-01,728.5,713.4819444444445,596.6558333333334,596.6558333333334,9.28,13.333333333333334,10.720333333333334,9.28,1303.00434782609,2832.124797014861,2159.334838117747,1303.00434782609,4894.89130434783,6998.290789079272,5430.3026142619665,4894.89130434783,1494.26086956522,1983.716283391193,1547.7382256710891,1494.26086956522,1.1847
2008-11-01,813.5,722.3625000000001,603.5791666666667,603.5791666666667,10.12,13.38638888888889,10.799833333333332,10.12,1169.3625,2819.8671896916294,2163.5873381177466,1169.3625,3729.1875,6983.0415782206865,5458.234489261967,3729.1875,1286.425,1991.1769525831119,1558.8009340044225,1286.425,1.2171
2008-12-01,865.0,732.1402777777779,611.0416666666666,611.0416666666666,10.79,13.440833333333334,10.880166666666668,10.79,1112.90476190476,2800.2444053000945,2165.8564651018737,1112.90476190476,3105.09523809524,6942.154640389998,5473.285481325459,3105.09523809524,968.166666666667,1986.9551933238524,1563.435259401248,968.166666666667,1.2337
2009-01-01,918.5,741.8263888888889,619.6616666666666,619.6616666666666,12.51,13.513055555555557,10.984833333333334,10.984833333333334,1202.52380952381,2775.5436777868667,2168.967060339969,1202.52380952381,3260.35714285714,6900.946307056664,5487.2668305318075,3260.35714285714,1144.90476190476,1983.8096906783499,1569.9576800361685,1144.90476190476,1.2248
2009-02-01,943.75,752.5833333333334,628.8533333333332,628.8533333333332,13.21,13.610555555555557,11.095333333333334,11.095333333333334,1118.0025,2744.9402750090894,2169.5039770066355,1118.0025,3328.4125,6855.208459834442,5496.878413865142,3328.4125,1099.625,1979.1482323450166,1573.5322217028354,1099.625,1.2452
2009-03-01,918.5,761.875,637.1116666666666,637.1116666666666,13.11,13.648055555555555,11.183333333333334,11.183333333333334,1223.21818181818,2711.483956388097,2171.5276858340403,1223.21818181818,3770.875,6817.630712249902,5509.72162038688,3770.875,1246.52272727273,1980.6102163151527,1579.671912084917,1246.52272727273,1.2645
2009-04-01,889.0,768.8402777777778,645.4733333333332,645.4733333333332,12.63,13.649999999999999,11.294666666666666,11.294666666666666,1388.1375,2664.8116955856276,2177.5147691673733,1388.1375,4436.925,6762.977394348667,5534.887453720215,4436.925,1393.9125,1986.8145758830537,1590.4533704182502,1393.9125,1.2242
2009-05-01,972.0,777.6736111111111,655.1091666666666,655.1091666666666,15.52,13.716388888888888,11.450500000000002,11.450500000000002,1492.51842105263,2607.808239027566,2185.20744460597,1492.51842105263,4591.46052631579,6666.651562407704,5565.937453720214,4591.46052631579,1446.68421052632,1994.5696928421182,1601.1632388393032,1446.68421052632,1.1528
2009-06-01,941.0,787.1347222222223,664.2299999999999,664.2299999999999,13.94,13.806388888888888,11.584333333333332,11.584333333333332,1556.77272727273,2562.2299561992827,2194.1729749090005,1556.77272727273,5015.43181818182,6605.336537155178,5604.71055978082,5015.43181818182,1667.11363636364,2014.111359508785,1614.5530115665758,1614.5530115665758,1.1264
2009-07-01,936.5,795.4541666666668,673.3449999999999,673.3449999999999,13.63,13.867222222222221,11.7045,11.7045,1580.85869565217,2513.8999728774515,2204.0525516547186,1580.85869565217,5228.41304347826,6535.938619050738,5644.904186263034,5228.41304347826,1673.97826086957,2031.3534805117758,1626.9303007628869,1626.9303007628869,1.1229
2009-08-01,950.75,804.5930555555556,682.3891666666666,682.3891666666666,14.54,13.921111111111111,11.834499999999998,11.834499999999998,1818.0125,2471.623489291593,2218.0731964959878,1818.0125,6176.875,6493.900424606294,5700.448729913827,5700.448729913827,1893.0375,2051.179017127937,1643.2039416359025,1643.2039416359025,1.0872
2009-09-01,1001.25,815.6902777777779,692.2041666666667,692.2041666666667,16.45,14.057222222222222,11.9975,11.9975,1879.14772727273,2429.54260605446,2233.058954071746,1879.14772727273,6195.75,6454.264511907881,5755.325055671403,5755.325055671403,2205.47727272727,2075.0387032751237,1664.4259113328724,1664.4259113328724,1.0816
2009-10-01,1044.5,828.0125,702.5091666666666,702.5091666666666,16.57,14.181944444444444,12.154333333333334,12.154333333333334,2070.84454545455,2380.6882247413287,2249.7908869721787,2070.84454545455,6305.98863636364,6421.169499281618,5810.268120245718,5810.268120245718,2227.69318181818,2094.5396502448207,1686.0065119822227,1686.0065119822227,1.0547
2009-11-01,1172.0,842.8347222222224,714.5091666666666,714.5091666666666,18.14,14.305833333333332,12.327333333333334,12.327333333333334,2196.54761904762,2320.0752798158837,2268.0632715320635,2196.54761904762,6682.44047619048,6411.534638771758,5869.470310000408,5869.470310000408,2303.44047619048,2113.35680993698,1708.2920729490338,1708.2920729490338,1.0593
2009-12-01,1104.0,855.8430555555556,725.6091666666666,725.6091666666666,16.99,14.419444444444444,12.496833333333335,12.496833333333335,2374.0380952381,2264.3139111163573,2287.9285493098414,2264.3139111163573,6976.97619047619,6419.756930612471,5933.4234846035815,5933.4234846035815,2326.26285714286,2130.4986144482586,1730.857565012526,1730.857565012526,1.0537
