,report_id,effective_date,report_type,cad_rate,reported_CAD_RATE_rolling_40_mean,reported_CAD_RATE_rolling_40_std,reported_CAD_RATE_upper_1STD,reported_CAD_RATE_lower_1STD,reported_CAD_RATE_upper_2STD,reported_CAD_RATE_lower_2STD
20,2008-000024893 Victory Nickel Inc-f1-01354993_1-1-1,2008-11-05,,1.0526,1.0710428571428572,0.0773517457555327,1.1483946028983898,0.9936911113873245,1.2257463486539226,0.9163393656317917
21,2008-000025315 Andean Resources Limited-f1-01357523_2-1-1,2008-12-01,PFS,1.0753,1.0712363636363635,0.07549303055473176,1.1467293941910952,0.9957433330816318,1.222222424745827,0.9202503025269
22,2008-000015687 Strateco Resources Inc-f1-01359415_3-1-1,2008-12-17,,1.0526,1.0704260869565219,0.07385962248747346,1.1442857094439953,0.9965664644690484,1.2181453319314688,0.9227068419815749
23,2009-000007862 Golden Band Resources Inc-f1-01384353_1-1-1,2009-01-16,PFS,1.1111,1.0721208333333332,0.07271169978918031,1.1448325331225135,0.9994091335441528,1.217544232911694,0.9266974337549726
24,2009-000003273 Osisko Mining Corporation-f1-01373072_1-6-1,2009-02-12,MRE,1.18,1.0764360000000002,0.07437887177597322,1.1508148717759734,1.002057128224027,1.2251937435519467,0.9276782564480537
25,2009-000001166 Comaplex Minerals Corp-f1-01377866_2-1-1,2009-02-20,PEA,1.1111,1.0777692307692308,0.07319250655213697,1.1509617373213679,1.0045767242170938,1.2241542438735047,0.9313842176649569
26,2009-000005733 Sabina Silver Corporation-f1-01407382_1-1-1,2009-02-26,MRE,1.1765,1.0814259259259258,0.07424370262128213,1.155669628547208,1.0071822233046437,1.22991333116849,0.9329385206833616
27,2009-000002878 Banro Corporation-f1-01381509_1-1-1,2009-02-27,FS,1.06,1.0806607142857143,0.07296827996432681,1.153628994250041,1.0076924343213876,1.226597274214368,0.9347241543570607
28,2009-000009025 IAMGOLD Corporation-f1-01384641_1-1-3,2009-02-27,,1.25,1.0865,0.07824981971681647,1.1647498197168165,1.0082501802831836,1.242999639433633,0.9300003605663671
29,2009-000005425 NEMI Northern Energy & Mining Inc-f1-01388105_1-1-1,2009-03-02,FS,1.0,1.0836166666666667,0.07849397114267516,1.1621106378093418,1.0051226955239916,1.240604608952017,0.9266287243813164
30,2009-000014092 Skyline Gold Corporation-f1-01384343_1-1-1,2009-03-04,PEA,1.1765,1.0866129032258065,0.07895712229615716,1.1655700255219636,1.0076557809296494,1.2445271478181208,0.9286986586334922
31,2009-000006087 Gabriel Resources Ltd-f1-01384149_1-1-1,2009-03-04,FS,1.23,1.09109375,0.08170445929907884,1.1727982092990787,1.0093892907009212,1.2545026685981577,0.9276848314018423
32,2009-000003026 North American Palladium Ltd-f1-01386739_1-1-1,2009-03-13,MRE,1.1111,1.0917,0.08049307035391302,1.172193070353913,1.0112069296460868,1.252686140707826,0.9307138592921739
33,2009-000004446 Ontex Resources Limited-f1-01422283_1-1-1,2009-05-04,,1.1111,1.092270588235294,0.0793338917579471,1.1716044799932412,1.012936696477347,1.2509383717511884,0.9336028047193999
34,2009-000025019 MVE Capital Corp-f1-01430818_1-1-1,2009-05-25,,1.25,1.096777142857143,0.08258068099712892,1.179357823854272,1.0141964618600139,1.2619385048514007,0.9316157808628851
35,2009-000025547 Garson Gold Corp-f1-01435503_1-1-1,2009-05-30,,1.2,1.0996444444444444,0.08319071529390225,1.1828351597383466,1.0164537291505422,1.2660258750322488,0.9332630138566399
36,2009-000022748 Explorator Resources Inc-f1-01441034_2-1-1,2009-05-30,PEA,1.0,1.0969513513513514,0.083646908761444,1.1805982601127953,1.0133044425899074,1.2642451688742393,0.9296575338284634
37,2009-000010193 Chariot Resources Limited-f1-01415384_1-2-1,2009-06-08,FS,1.24,1.100715789473684,0.08570997774177176,1.186425767215456,1.0150058117319123,1.2721357449572277,0.9292958339901406
38,2009-000002178 Silver Standard Resources Inc-f1-01445535_1-1-1,2009-06-12,,1.1236,1.1013025641025642,0.08465404360404474,1.185956607706609,1.0166485204985194,1.2706106513106536,0.9319944768944748
39,2009-000011769 Fronteer Development Group Inc-f1-01488718_3-1-1,2009-08-01,PEA,1.136,1.1021699999999999,0.0837415872544665,1.1859115872544663,1.0184284127455334,1.2696531745089328,0.9346868254910669
40,2009-000003240 ST ANDREW GOLDFIELDS LTD-f1-01455927_1-1-1,2009-08-06,MRE,1.1765,1.1065825,0.08286549462060752,1.1894479946206076,1.0237170053793925,1.2723134892412151,0.9408515107587849
41,2009-000005589 International Wayside Gold Mines Ltd-f1-01488666_1-1-1,2009-08-17,PFS,1.1765,1.107245,0.08332616466602014,1.1905711646660202,1.0239188353339799,1.2738973293320404,0.9405926706679597
42,2009-000009568 Lake Shore Gold Corp-f1-01483540_3-1-1,2009-08-28,,1.1628,1.111315,0.08191756503667844,1.1932325650366784,1.0293974349633217,1.275150130073357,0.9474798699266431
43,2009-000022426 MINCO SILVER CORPORATION-f1-01496862_1-1-1,2009-09-01,,1.2195,1.1140525000000001,0.08368308957471161,1.1977355895747117,1.0303694104252885,1.2814186791494233,0.9466863208505769
44,2009-000008250 Northland Resources Inc-f1-01487781_2-1-1,2009-10-20,PEA,1.25,1.1199724999999998,0.08473490482766718,1.204707404827667,1.0352375951723327,1.2894423096553342,0.9505026903446654
45,2009-000004771 0373849 B.C. Ltd-f1-01518222_1-1-1,2009-12-14,PFS,1.1111,1.1144175,0.07735299337022007,1.1917704933702202,1.03706450662978,1.2691234867404402,0.95971151325956
46,2009-000024083 Avanti Mining Inc-f1-01516189_1-1-1,2009-12-15,PFS,1.087,1.1138150000000002,0.07747325940656492,1.1912882594065652,1.0363417405934352,1.26876151881313,0.9588684811868704
47,2009-000011164 Hathor Exploration Limited-f1-01517081_2-1-1,2009-12-18,MRE,1.1,1.1135375,0.07750310725780846,1.1910406072578086,1.0360343927421916,1.268543714515617,0.9585312854843832
48,2010-000004818 New Gold Inc-f1-01544679_1-1-1,2009-12-31,,1.18,1.1180375000000002,0.0759519135577037,1.1939894135577038,1.0420855864422967,1.2699413271154076,0.9661336728845928
49,2010-000003272 Société d_exploration minière Vior Inc-f1-01528825_1-1-1,2010-01-22,,1.142,1.1188375000000002,0.07603356778086341,1.1948710677808636,1.0428039322191367,1.270904635561727,0.9667703644382734
50,2010-000002586 Adex Mining Inc-f1-01526896_1-1-1,2010-01-22,,1.1,1.1208275,0.0744155931670925,1.1952430931670925,1.0464119068329076,1.269658686334185,0.9719963136658151
51,2010-000005466 MDN INC-f1-01545636_1-1-1,2010-01-25,PEA,1.1111,1.123105,0.07262310485633564,1.1957281048563357,1.0504818951436643,1.2683512097126712,0.9778587902873288
52,2010-000029665 Stonegate Agricom Ltd-f1-01546609_1-1-2,2010-02-01,,1.07,1.124855,0.07038962973591305,1.195244629735913,1.054465370264087,1.265634259471826,0.9840757405281738
53,2010-000021049 Wescan Goldfields Inc-f1-01546365_1-1-1,2010-02-04,,1.0638,1.1252,0.0700463180093474,1.1952463180093473,1.0551536819906526,1.2652926360186947,0.9851073639813052
54,2010-000002968 Kinross Gold Corporation-f1-01592433_2-2-1,2010-02-18,FS,1.15,1.1276350000000002,0.06914497794025919,1.1967799779402593,1.058490022059741,1.2659249558805186,0.9893450441194818
55,2010-000009151 LIBERTY MINES INC-f1-01542198_2-1-1,2010-02-26,,1.1111,1.1280000000000001,0.06901482189374682,1.1970148218937469,1.0589851781062534,1.2660296437874938,0.9899703562125065
56,2010-000003273 Osisko Mining Corporation-f1-01549677_1-1-1,2010-03-22,MRE,1.18,1.1325,0.06626844784274884,1.198768447842749,1.0662315521572512,1.2650368956854978,0.9999631043145024
57,2010-000011539 Alexis Minerals Corporation-f1-01571168_1-1-1,2010-04-01,PEA,1.05,1.13125,0.06735978409125477,1.1986097840912548,1.0638902159087453,1.2659695681825096,0.9965304318174906
58,2010-000014169 Rusoro Mining Ltd-f1-01579192_1-1-1,2010-04-21,PFS,1.0309,1.129245,0.06914488300773816,1.1983898830077382,1.060100116992262,1.2675347660154763,0.9909552339845238
59,2010-000002178 Silver Standard Resources Inc-f1-01592513_3-1-1,2010-06-01,PEA,1.087,1.13017,0.06829990877344923,1.1984699087734492,1.0618700912265506,1.2667698175468984,0.9935701824531015
60,2010-000005241 Oromin Explorations Ltd-f1-01647230_1-7-1,2010-06-02,FS,1.05,1.130105,0.06837681774642744,1.1984818177464274,1.0617281822535725,1.2668586354928548,0.993351364507145
61,2010-000005427 Mega Precious Metals Inc. ( Mega Silver Inc.)-f1-01609435_1-1-1,2010-06-06,MRE,1.0526,1.1295375,0.06893526018050411,1.198472760180504,1.060602239819496,1.2674080203610083,0.9916669796389919
62,2010-000005974 Sona Resources Corp. ( J-Pacific Gold Inc.)-f1-01597225_2-1-1,2010-06-10,PEA,1.08,1.1302225,0.06828420055087227,1.1985067005508723,1.0619382994491275,1.2667909011017444,0.9936540988982554
63,2010-000000819 Newcastle Minerals Ltd-f1-01622050_1-1-1,2010-06-25,,1.0449,1.1285675000000002,0.06955006456337177,1.198117564563372,1.0590174354366284,1.2676676291267437,0.9894673708732566
64,2010-000009542 Bravo Gold Corp-f1-01601622_2-1-1,2010-06-28,,1.1111,1.126845,0.06909532230261696,1.195940322302617,1.0577496776973832,1.265035644605234,0.9886543553947662
65,2010-000011539 Alexis Minerals Corporation-f1-01604138_2-1-1,2010-06-28,,1.05,1.1253175,0.07012009802785397,1.195437598027854,1.055197401972146,1.265557696055708,0.985077303944292
66,2010-000027114 Treasury Metals Inc-f1-01625565_1-1-1,2010-07-09,PEA,1.0,1.120905,0.07233510319233749,1.1932401031923376,1.0485698968076624,1.265575206384675,0.9762347936153251
67,2010-000011215 Western Coal Corp-f1-01608130_1-1-1,2010-07-16,PFS,1.0526,1.12072,0.07250412967902435,1.1932241296790242,1.0482158703209756,1.2657282593580486,0.9757117406419512
68,2010-000002950 Tyhee Development Corp-f1-01633185_1-1-1,2010-07-22,PFS,1.0753,1.1163525,0.06972542481322419,1.1860779248132243,1.046627075186776,1.2558033496264485,0.9769016503735517
69,2010-000007836 SHEAR MINERALS LTD-f1-01617517_1-1-1,2010-07-26,MRE,1.1494,1.1200875,0.06729193645258265,1.1873794364525825,1.0527955635474173,1.2546713729051653,0.9855036270948346
70,2010-000003958 OPAWICA EXPLORATIONS INC-f1-01622819_1-1-1,2010-08-16,PEA,1.087,1.11785,0.06685463373081939,1.1847046337308194,1.0509953662691807,1.2515592674616387,0.9841407325383612
71,2010-000022760 Blue Note Mining Inc-f1-01627258_1-1-1,2010-08-27,,1.05,1.11335,0.06514837896717961,1.1784983789671797,1.0482016210328204,1.2436467579343593,0.9830532420656408
