date,lead_price,lead_price_quarterly,lead_price_yearly,lead_price_5y,lead_price_3y,lead_price_price_floor,lead_price_floor_spot_3y,lead_price_floor_spot_5y
2006-11-01,1626.02272727273,1499.4034632034634,1239.3401108000296,801.7966978162716,1019.9379743576023,801.7966978162716,1019.9379743576023,801.7966978162716
2006-12-01,1709.15789473684,1620.2799043062198,1288.4241020280997,822.2342313560033,1048.2449396875938,822.2342313560033,1048.2449396875938,822.2342313560033
2007-01-01,1664.34090909091,1666.5071770334932,1322.2739396904371,841.4551404469124,1073.544422612077,841.4551404469124,1073.544422612077,841.4551404469124
2007-02-01,1775.075,1716.1912679425834,1364.5770646904373,863.024307113579,1098.2644920565212,863.024307113579,1098.2644920565212,863.024307113579
2007-03-01,1908.97727272727,1782.7977272727267,1424.1675620553906,886.8293449923669,1126.898824511506,886.8293449923669,1126.898824511506,886.8293449923669
2007-04-01,1984.15789473684,1889.4033891547035,1491.9677569871637,912.0304686348063,1161.2636271430847,912.0304686348063,1161.2636271430847,912.0304686348063
2007-05-01,2106.0,1999.7117224880367,1570.176090320497,939.6240292408669,1197.4277353302193,939.6240292408669,1197.4277353302193,939.6240292408669
2007-06-01,2436.64285714286,2175.600250626567,1692.9285253854325,972.9016879710257,1241.1198348973187,972.9016879710257,1241.1198348973187,972.9016879710257
2007-07-01,3072.43181818182,2538.3582251082266,1861.1926848370924,1016.6751168247806,1300.5945823720665,1016.6751168247806,1300.5945823720665,1016.6751168247806
2007-08-01,3115.19318181818,2874.7559523809537,2022.5156015037592,1061.5227809661947,1361.66608609982,1061.5227809661947,1361.66608609982,1061.5227809661947
2007-09-01,3228.025,3138.5499999999997,2179.3069705513785,1108.3141500138138,1425.440139130123,1108.3141500138138,1425.440139130123,1108.3141500138138
2007-10-01,3722.60869565217,3355.27562582345,2362.3861042799685,1163.386831173234,1502.9332378188737,1163.386831173234,1502.9332378188737,1163.386831173234
2007-11-01,3319.90909090909,3423.514262187087,2503.5433012496646,1211.3612684026712,1568.3110787279647,1211.3612684026712,1568.3110787279647,1211.3612684026712
2007-12-01,2616.08333333333,3219.5337066315296,2579.120421132706,1247.609165228068,1613.970800950187,1247.609165228068,1613.970800950187,1247.609165228068
2008-01-01,2621.78409090909,2852.5921717171695,2658.9073529508873,1283.8918167432196,1660.2918868087727,1283.8918167432196,1660.2918868087727,1283.8918167432196
2008-02-01,3089.60714285714,2775.8248556998533,2768.4516981889824,1327.4767274575051,1719.0872241103598,1327.4767274575051,1719.0872241103598,1327.4767274575051
2008-03-01,3012.93421052632,2908.10848143085,2860.448109672237,1370.1138055694516,1774.9551056196888,1370.1138055694516,1774.9551056196888,1370.1138055694516
2008-04-01,2834.875,2979.138784461153,2931.3412017775004,1410.0617222361184,1826.4661836620169,1410.0617222361184,1826.4661836620169,1410.0617222361184
2008-05-01,2216.0875,2687.96557017544,2940.5151601108337,1439.2910972361183,1860.6550725509057,1439.2910972361183,1860.6550725509057,1439.2910972361183
2008-06-01,1860.5119047619,2303.8248015873,2892.50424741242,1462.505382950404,1885.0401885922718,1462.505382950404,1860.5119047619,1462.505382950404
2008-07-01,1960.04347826087,2012.2142943409235,2799.8052190856743,1486.6171583127227,1915.665734946079,1486.6171583127227,1915.665734946079,1486.6171583127227
2008-08-01,1902.85,1907.8017943409232,2698.776620600826,1510.102033312723,1943.8721112087053,1510.102033312723,1902.85,1510.102033312723
2008-09-01,1872.30681818182,1911.7334321475635,2585.800105449311,1532.624457555147,1969.9702804006245,1532.624457555147,1872.30681818182,1532.624457555147
2008-10-01,1494.26086956522,1756.4725625823467,2400.104453275398,1547.7382256710891,1983.716283391193,1494.26086956522,1494.26086956522,1494.26086956522
2008-11-01,1286.425,1550.9975625823465,2230.6474456996407,1558.8009340044225,1991.1769525831119,1286.425,1286.425,1286.425
2008-12-01,968.166666666667,1249.6175120772957,2093.321056810752,1563.435259401248,1986.9551933238524,968.166666666667,968.166666666667,968.166666666667
2009-01-01,1144.90476190476,1133.1654761904756,1970.2477793937248,1569.9576800361685,1983.8096906783499,1144.90476190476,1144.90476190476,1144.90476190476
2009-02-01,1099.625,1070.898809523809,1804.4159341556297,1573.5322217028354,1979.1482323450166,1099.625,1099.625,1099.625
2009-03-01,1246.52272727273,1163.6841630591632,1657.2149772178307,1579.671912084917,1980.6102163151527,1246.52272727273,1246.52272727273,1246.52272727273
2009-04-01,1393.9125,1246.6867424242432,1537.1347688844971,1590.4533704182502,1986.8145758830537,1393.9125,1393.9125,1393.9125
2009-05-01,1446.68421052632,1362.3731459330168,1473.017828095024,1601.1632388393032,1994.5696928421182,1446.68421052632,1446.68421052632,1446.68421052632
2009-06-01,1667.11363636364,1502.5701156299865,1456.9013057285022,1614.5530115665758,2014.111359508785,1614.5530115665758,1667.11363636364,1614.5530115665758
2009-07-01,1673.97826086957,1595.9253692531765,1433.0625376125606,1626.9303007628869,2031.3534805117758,1626.9303007628869,1673.97826086957,1626.9303007628869
2009-08-01,1893.0375,1744.7097990777365,1432.2448292792271,1643.2039416359025,2051.179017127937,1643.2039416359025,1893.0375,1643.2039416359025
2009-09-01,2205.47727272727,1924.16434453228,1460.0090338246816,1664.4259113328724,2075.0387032751237,1664.4259113328724,2075.0387032751237,1664.4259113328724
2009-10-01,2227.69318181818,2108.7359848484834,1521.128393179095,1686.0065119822227,2094.5396502448207,1686.0065119822227,2094.5396502448207,1686.0065119822227
2009-11-01,2303.44047619048,2245.5369769119766,1605.8796828616348,1708.2920729490338,2113.35680993698,1708.2920729490338,2113.35680993698,1708.2920729490338
2009-12-01,2326.26285714286,2285.79883838384,1719.0543654013175,1730.857565012526,2130.4986144482586,1730.857565012526,2130.4986144482586,1730.857565012526
2010-01-01,2352.15,2327.2844444444468,1819.6581352425874,1754.156315012526,2149.604422529066,1754.156315012526,2149.604422529066,1754.156315012526
2010-02-01,2125.775,2268.06261904762,1905.1706352425874,1773.3696483458593,2159.3460891957334,1773.3696483458593,2125.775,1773.3696483458593
2010-03-01,2162.67608695652,2213.5336956521737,1981.5167485495701,1792.7194085252934,2166.3932784798794,1792.7194085252934,2162.67608695652,1792.7194085252934
2010-04-01,2272.15,2186.8670289855067,2054.7032068829035,1814.24730535069,2174.3930591816334,1814.24730535069,2174.3930591816334,1814.24730535069
2010-05-01,1876.78947368421,2103.87185354691,2090.545312146061,1829.1056715787604,2168.026100117306,1829.1056715787604,1876.78947368421,1829.1056715787604
2010-06-01,1707.28409090909,1952.0745215311,2093.8928500248485,1841.182944306033,2147.76613438859,1707.28409090909,1707.28409090909,1707.28409090909
2010-07-01,1843.96590909091,1809.34649122807,2108.0584873766265,1857.623645965485,2113.642081358287,1843.96590909091,1843.96590909091,1843.96590909091
2010-08-01,2082.79761904762,1878.0158730158735,2123.871830630595,1877.5465987071875,2084.9644268368825,1877.5465987071875,2082.79761904762,1877.5465987071875
2010-09-01,2192.85227272727,2039.8719336219335,2122.8197472972615,1898.5479244647634,2056.2096288570847,1898.5479244647634,2056.2096288570847,1898.5479244647634
2010-10-01,2383.54761904762,2219.7325036075035,2135.807617066381,1921.616972083811,2019.0134878402916,1921.616972083811,2019.0134878402916,1921.616972083811
2010-11-01,2364.97727272727,2313.7923881673864,2140.9356834444475,1944.0692448110835,1992.4876040019076,1944.0692448110835,1992.4876040019076,1944.0692448110835
