Historic Report Comparison,PEA,PFS,FS
Bias to Trend Mean of Reported Data,0.6551047954000262,-7.5555977013029905,-2.3532332991206815
Bias to Trend Mean of Spot Data,0.46625339267382937,-3.6807007622627737,-5.375201495179996
Bias to Trend Mean of 3-year,-1.0476878936551803,-0.7368997899853639,-3.5628260819466564
Bias to Trend Mean of 5 year,-0.8902309857510313,2.898871499095138,-2.060591028836985
