report_id,effective_date,report_type,cu_price_usd_dmt,knn_mean,band1_low,band1_high,band2_low,band2_high
2008-000027145 Tiger Resources Limited-f1-01332326_3-1-1,2008-10-07,FS,5511.549999999999,4857.514083514008,3775.1933906137992,5934.232364457607,2692.8726977135902,7010.950645401206
2008-000020132 Cogitore Resources Inc-f1-01357048_1-1-1,2008-10-24,,7165.014999999999,4857.140884106676,3774.9033451478017,5933.77644153833,2692.6658061889275,7010.411998969983
2008-000024893 Victory Nickel Inc-f1-01354993_1-1-1,2008-11-05,,6613.86,4860.311659939222,3777.3676286805603,5937.650052657606,2694.423597421898,7014.988445375988
2008-000013177 Candente Resource Corp-f1-01357519_3-1-1,2008-11-30,PEA,4409.24,4862.232838731653,3778.8607425150603,5939.997080617162,2695.4886462984673,7017.761322502673
"2009-000006010 Redhawk Resources, Inc-f1-01380852_1-1-1",2009-02-18,PEA,4960.395,4862.642968631914,3779.17948985416,5940.498120055427,2695.7160110764053,7018.353271478938
2009-000009025 IAMGOLD Corporation-f1-01384641_1-1-3,2009-02-27,,4426.236749116607,4853.744915998701,3772.2640452640453,5929.6277219446165,2690.78317452939,7005.510527890532
2009-000014092 Skyline Gold Corporation-f1-01384343_1-1-1,2009-03-04,PEA,4409.24,4849.072222785301,3768.6324921213663,5923.9192779093755,2688.192761457432,6998.766333033449
2009-000004130 KINBAURI GOLD CORP-f1-01384831_1-1-1,2009-03-06,PEA,5149.882089,4844.243773131458,3764.8798872072675,5918.020552406295,2685.516001283077,6991.797331681133
2009-000024750 South American Silver Corp-f1-01389824_1-1-1,2009-03-13,PEA,3086.468,4834.098663914325,3756.9952473266417,5905.626674710378,2679.8918307389586,6977.154685506432
2009-000022748 Explorator Resources Inc-f1-01441034_2-1-1,2009-05-30,PEA,3968.316,4876.3697134944,3789.8477278846726,5957.267540014099,2703.3257422749457,7038.165366533798
2009-000005760 Sunridge Gold Corp-f1-01443806_1-1-1,2009-06-05,PEA,5886.3354,4893.411651669011,3803.0924887343417,5978.087000200965,2712.7733257996724,7062.76234873292
2009-000010193 Chariot Resources Limited-f1-01415384_1-2-1,2009-06-08,FS,4409.24,4894.795854316372,3804.168272066257,5979.778025694194,2713.540689816142,7064.760197072016
2009-000009161 Silver Wheaton Corp-f1-01475484_2-1-1,2009-09-09,FS,4409.24,5014.644830267712,3909.6582179575676,6094.550575577619,2804.6716056474233,7174.456320887526
2009-000005815 Norsemont Mining Inc-f1-01483747_1-1-1,2009-09-28,FS,4409.24,5023.156606868363,3881.3256685109577,6159.322500521201,2739.494730153552,7295.488394174037
2009-000008808 Aura Minerals Inc-f1-01483612_5-1-1,2009-09-30,PEA,4409.24,5031.952109355702,3888.121835193255,6170.10741937075,2744.2915610308078,7308.262729385799
2009-000007586 International PBX Ventures Ltd-f1-01516184_1-1-1,2009-12-13,PEA,4409.24,5249.597887934229,4036.3333836335596,6433.635222815553,2823.0688793328895,7617.6725576968765
2010-000003295 Tri Origin Exploration Ltd-f1-01524409_1-1-1,2009-12-15,FS,5511.549999999999,5253.006483976482,4038.9541996065864,6437.812621547023,2824.9019152366905,7622.618759117564
2010-000004818 New Gold Inc-f1-01544679_1-1-1,2009-12-31,,4409.24,5295.166101245524,4029.5558325795546,6422.513353578055,2763.945563913585,7549.860605910585
2010-000002968 Kinross Gold Corporation-f1-01592433_2-2-1,2010-02-18,FS,4409.24,5393.330971971047,4109.931256717984,6478.907857389721,2826.531541464922,7564.484742808396
2010-000009151 LIBERTY MINES INC-f1-01542198_2-1-1,2010-02-26,,5952.474,5395.333239036748,4122.5569452458685,6450.365937597457,2849.7806514549893,7505.398636158166
2010-000008502 Entree Gold Inc-f1-01595887_2-1-1,2010-03-30,PFS,4409.24,5457.553384150995,4422.088640317199,6708.767962975301,3386.6238964834033,7959.982541799607
2010-000003181 Inmet Mining Corporation-f1-01555466_1-2-1,2010-03-31,FS,4629.702,5465.230391676785,4428.309084787796,6718.205023598493,3391.3877778988053,7971.179655520202
2010-000018939 Carpathian Gold Inc-f1-01585312_1-1-1,2010-04-23,PEA,4960.395,5566.140370516287,4523.2988274734125,6770.582871947172,3480.4572844305376,7975.025373378058
2011a-000026050 Josephine Mining Corp. ( Green Park Capital Corp.)-f1-01717587_1-1-1,2010-05-17,,4409.24,5629.988680626158,4588.1893209728405,6809.216130948284,3546.389961319523,7988.4435812704105
2010-000002331 Orsu Metals Corporation-f1-01585902_3-1-1,2010-05-25,PEA,6613.86,5661.441957725421,4613.822337002348,6847.257443985465,3566.2027162792747,8033.072930245508
2010-000002178 Silver Standard Resources Inc-f1-01592513_3-1-1,2010-06-01,PEA,6503.629,5667.148733871824,4618.473104678349,6854.159531075891,3569.7974754848738,8041.170328279959
2010-000009542 Bravo Gold Corp-f1-01601622_2-1-1,2010-06-28,,7165.014999999999,5768.045376206752,4656.15944408303,6965.889745869503,3544.273511959309,8163.734115532254
2010-000027268 PCI-1 Capital Corp-f1-01660906_1-1-1,2010-07-01,,5511.549999999999,5770.7897227469775,4658.3747725396715,6969.204008184866,3545.9598223323655,8167.618293622756
2010-000003958 OPAWICA EXPLORATIONS INC-f1-01622819_1-1-1,2010-08-16,PEA,6283.167,5809.553162249395,4636.40882319959,6999.2131288888395,3463.264484149785,8188.873095528283
2010-000008329 Antares Minerals Inc. ( Planet Ventures Inc.)-f1-01632733_2-1-1,2010-09-02,PEA,4960.395,5845.160262717032,4672.598748310918,7038.792748028251,3500.0372339048054,8232.425233339469
2010-000022586 Donner Metals Ltd-f1-01646195_1-1-1,2010-09-21,,5511.549999999999,5875.04941303095,4670.706154710821,7071.629725196871,3466.362896390692,8268.21003736279
2010-000003851 Salazar Resources Limited-f1-01641644_1-2-1,2010-09-24,,7165.014999999999,5876.661403687537,4671.987698771431,7073.570032459407,3467.3139938553245,8270.478661231278
2010-000025297 Sandstorm Resources Ltd-f1-01643054_3-1-1,2010-10-05,,6613.86,5878.327127366009,4655.910973855238,7058.045166824891,3433.494820344467,8237.763206283773
2011a-000010750 Geologix Explorations Inc-f1-01696761_1-8-1,2010-10-08,PEA,6062.705,5880.048375167099,4657.27428289745,7060.111850842327,3434.500190627801,8240.175326517556
2010-000005208 SOHO Resources Corp-f1-01651891_1-1-1,2010-10-29,PEA,6437.4904,5899.449210943974,4667.796160291371,7084.342572240973,3436.1431096387673,8269.235933537972
2011a-000024683 Ventana Gold Corp-f1-01648578_1-19-1,2010-11-08,,6613.86,5912.392983241942,4678.037606309765,7099.886077042366,3443.682229377587,8287.37917084279
2010-000030584 EMED Mining Public Limited-f1-01647178_1-25-2,2010-11-17,PFS,5511.549999999999,5926.318558981382,4689.055880498112,7116.608578673684,3451.793202014842,8306.898598365988
2010-000003985 Minera Andes Inc-f1-01677470_1-1-1,2010-12-01,PEA,6613.86,5919.525302778556,4717.617633767581,7069.244695700264,3515.7099647566056,8218.964088621973
2010-000002929 Breakwater Resources Ltd-f1-01673123_2-1-1,2010-12-03,,5864.2892,5917.108273093397,4715.691360750605,7066.35821859151,3514.274448407814,8215.608164089623
2011a-000005689 Capstone Mining Corp-f1-01723434_2-1-1,2010-12-15,PFS,6062.705,5932.5440332896715,4718.478667391397,7032.051790852221,3504.4133014931213,8131.559548414769
2011a-000011551 TintinaGold Resources Inc-f1-01689809_1-1-1,2010-12-20,,6062.705,5931.050876843772,4717.291077919239,7030.281900329625,3503.531278994705,8129.512923815479
2011a-000002432 Pan American Silver Corp-f1-01687065_1-1-1,2011-01-14,PEA,6500.0,5959.781531440106,4795.056562774087,7011.396431679103,3630.3315941080677,8063.0113319181
2011a-000005795 Bard Ventures Ltd-f1-01704876_1-1-1,2011-01-21,PEA,6613.86,5960.6660382658865,4784.543527842525,7001.962806163998,3608.421017419163,8043.259574062109
"2011a-000023256 Mines Management, Inc-f1-01693687_1-1-1",2011-02-03,,6834.322,5977.670690865966,4798.192925412966,7021.938081455907,3618.7151599599674,8066.205472045849
2011a-000020823 Equinox Minerals Limited-f1-01709025_1-1-1,2011-03-07,FS,4409.24,5979.273981894832,4928.130353330144,7082.556162326718,3876.9867247654565,8185.838342758603
2011a-000000923 Barrick Gold Corporation-f1-01723131_1-1-2,2011-03-30,FS,7716.17,6023.221634034849,4964.352101844196,7134.6129363475375,3905.482569653544,8246.004238660225
2011a-000018190 Chesapeake Gold Corp-f1-01733412_1-1-1,2011-04-21,PEA,7716.17,6059.26971550095,4971.3649385118615,7176.750612241144,3883.4601615227725,8294.231508981338
2011a-000000880 NovaGold Resources Inc-f1-01743319_1-1-1,2011-05-09,,5511.549999999999,6100.578038954878,5057.287988304983,7200.867326937613,4013.9979376550873,8301.156614920348
