Historic Report Comparison,PEA,PFS,FS
Bias to Trend Mean of Reported Data,-1.6598806331024254,0.03922988159005085,-2.665507735100778
Bias to Trend Mean of Spot Data,-6.904248921422752,-7.6516089047272615,-10.356587646770116
Bias to Trend Mean of 3-year,-4.9380208061815765,-3.241384053061168,-5.963932065630669
Bias to Trend Mean of 5 year,-0.12313457869134058,2.0862767122469923,-1.4545948147704162
