report_id,effective_date,report_type,ag_price_usd_troy_oz,knn_mean,band1_low,band1_high,band2_low,band2_high
2007-000014497 European Goldfields Limited-f1-01186774_3-1-1,2007-11-22,PFS,7.0,12.292435551174568,10.084846571429793,14.764283035644905,7.877257591685018,17.23613052011524
2007-000003448 Sherwood Copper Corporation-f1-01199204_1-1-1,2007-11-30,PFS,12.24,12.304662049627371,10.094877322495277,14.77896812249694,7.885092595363184,17.253274195366508
2008-000005815 Norsemont Mining Inc-f1-01200489_1-17-1,2007-12-11,PEA,11.0,12.31701074727662,10.105008327098165,14.793799981200294,7.893005906919711,17.27058921512397
2008-000005970 Inca Pacific Resources Inc-f1-01203599_1-2-1,2008-01-17,FS,12.0,12.341722556159755,10.125282161364076,14.823481010574373,7.908841766568399,17.30523946498899
2008-000003441 Golden Queen Mining Co. Ltd-f1-01212288_1-1-1,2008-01-23,FS,12.0,12.352978090802475,10.134516323258088,14.836999885535384,7.916054555713701,17.32102168026829
2008-000003277 Atna Resources Ltd-f1-01269132_3-1-1,2008-05-08,FS,12.0,12.382664198076627,10.15887112551973,14.872655479432739,7.935078052962831,17.362646760788852
2008-000021638 Coeur d_Alene Mines Corporation-f1-01296030_2-1-1,2008-06-21,FS,11.0,12.404913399161687,10.177124609814653,14.899378702895596,7.949335820467619,17.393844006629507
2008-000023502 Silver Eagle Mines Inc-f1-01302075_2-1-1,2008-07-25,,13.82,12.416489574754094,10.186621828998543,14.913282695493734,7.956754083242992,17.410075816233373
2008-000025279 Copper Mountain Mining Corporation-f1-01321217_2-1-1,2008-09-11,FS,11.34001134001134,12.43841310822091,10.204608132070543,14.939614763853822,7.9708031559201755,17.440816419486733
2008-000017383 Manicouagan Minerals Inc-f1-01321090_1-1-1,2008-09-12,,12.49,12.434626203557775,10.20150131468278,14.935066362355782,7.968376425807784,17.435506521153787
2008-000001691 HudBay Minerals Inc-f1-01323392_3-1-1,2008-09-19,,12.0,12.426669496093345,10.194973546149157,14.925509665430456,7.96327759620497,17.42434983476757
2008-000020132 Cogitore Resources Inc-f1-01357048_1-1-1,2008-10-24,,15.0,12.4460390881622,10.210864568180746,14.948774228291006,7.975690048199291,17.451509368419813
2008-000006210 SILVERCORP METALS INC-f1-01359371_2-1-1,2008-11-20,,9.5,12.438110365098735,10.204359758351195,14.93925114306246,7.970609151603655,17.440391921026183
2008-000013177 Candente Resource Corp-f1-01357519_3-1-1,2008-11-30,PEA,12.0,12.440297118678757,10.206153794549492,14.941877624092216,7.972010470420227,17.443458129505675
2008-000025315 Andean Resources Limited-f1-01357523_2-1-1,2008-12-01,PFS,13.11,12.437627365831785,10.203963500548497,14.938671018980981,7.97029963526521,17.43971467213018
"2009-000006010 Redhawk Resources, Inc-f1-01380852_1-1-1",2009-02-18,PEA,10.0,12.498215660021703,10.25367078991245,15.01144282407549,8.009125919803196,17.524669988129276
2009-000014092 Skyline Gold Corporation-f1-01384343_1-1-1,2009-03-04,PEA,15.0,12.547144570007864,10.293812594851227,15.070210695800654,8.040480619694591,17.59327682159344
2009-000006087 Gabriel Resources Ltd-f1-01384149_1-1-1,2009-03-04,FS,10.5,12.547144570007864,10.293812594851227,15.070210695800654,8.040480619694591,17.59327682159344
2009-000025297 Sandstorm Resources Ltd-f1-01386230_1-3-1,2009-03-06,PFS,11.95,12.555308258515405,10.30051017286274,15.080015994940794,8.045712087210076,17.604723731366185
2009-000024750 South American Silver Corp-f1-01389824_1-1-1,2009-03-13,PEA,13.3,12.592464823098158,10.330993818791043,15.124644257082025,8.069522814483928,17.65682369106589
2009-000003456 Gold Hawk Resources Inc-f1-01400028_1-1-1,2009-03-30,,12.0,12.598805853375374,10.336196068352109,15.132260385339167,8.073586283328844,17.66571491730296
2009-000026184 Troy Resources NL-f1-01435696_1-1-1,2009-05-06,FS,11.96,12.67792360760254,10.401105126376889,15.227287681735515,8.124286645151237,17.77665175586849
2009-000006455 Ely Gold & Minerals Inc-f1-01424660_1-1-1,2009-05-08,PEA,13.0,12.681924387741027,10.404387409509038,15.232092966260465,8.12685043127705,17.782261544779903
2009-000013503 Bear Creek Mining Corporation-f1-01430460_1-1-1,2009-05-26,PEA,13.0,12.772901330611939,10.479025873674361,15.341364178517136,8.185150416736782,17.909827026422334
2009-000005760 Sunridge Gold Corp-f1-01443806_1-1-1,2009-06-05,PEA,11.33,12.820411176356442,10.518003463019529,15.398427630803013,8.215595749682613,17.976444085249586
2009-000010193 Chariot Resources Limited-f1-01415384_1-2-1,2009-06-08,FS,11.0,12.828883764342285,10.524954465491287,15.408603945053075,8.221025166640292,17.988324125763867
2009-000002178 Silver Standard Resources Inc-f1-01445535_1-1-1,2009-06-12,,11.0,12.837638771927653,10.532137168045438,15.419119469778135,8.226635564163221,18.00060016762862
2009-000022554 Gryphon Gold Corporation-f1-01466880_1-1-1,2009-07-20,PFS,12.0,13.0164118175456,10.67880450086639,15.633841428958588,8.341197184187177,18.251271040371574
2009-000022426 MINCO SILVER CORPORATION-f1-01496862_1-1-1,2009-09-01,,13.57,13.218016184286592,10.844202895533497,15.87598578834077,8.470389606780403,18.53395539239495
2009-000009161 Silver Wheaton Corp-f1-01475484_2-1-1,2009-09-09,FS,12.0,13.229597828092327,11.010891613101903,16.254130948656375,8.792185398111478,19.27866406922042
2009-000005815 Norsemont Mining Inc-f1-01483747_1-1-1,2009-09-28,FS,12.0,13.42084467238934,11.140135556429811,16.447475101638553,8.859426440470283,19.474105530887762
2010-000003295 Tri Origin Exploration Ltd-f1-01524409_1-1-1,2009-12-15,FS,13.0,13.853697617098875,11.508183456261902,17.21724115813508,9.162669295424928,20.58078469917129
2010-000002968 Kinross Gold Corporation-f1-01528409_1-1-1,2009-12-31,,13.75,13.995027839610373,11.625585623793635,17.392884989202248,9.256143407976896,20.790742138794123
2010-000004818 New Gold Inc-f1-01544679_1-1-1,2009-12-31,,13.0,13.995027839610373,11.625585623793635,17.392884989202248,9.256143407976896,20.790742138794123
2010-000003165 Nayarit Gold Inc-f1-01537159_1-1-1,2010-02-01,,15.0,14.155483049382374,11.643727915491212,17.58277458550966,9.131972781600052,21.010066121636946
2010-000002968 Kinross Gold Corporation-f1-01592433_2-2-1,2010-02-18,FS,12.5,14.231640979332488,11.706372348878094,17.67737169042939,9.181103718423703,21.123102401526296
2010-000016244 Mandalay Resources Corporation-f1-01582539_3-1-1,2010-03-01,,17.0,14.232929011976902,11.632624515231687,17.910327228505068,9.032320018486471,21.587725445033236
2010-000008502 Entree Gold Inc-f1-01595887_2-1-1,2010-03-30,PFS,13.5,14.422757018344816,11.702541706238303,18.29698787338035,8.982326394131793,22.17121872841588
2010-000006221 Fortuna Silver Mines Inc-f1-01595645_1-1-1,2010-03-31,,15.12,14.427160030067425,11.70611428450828,18.302573619017778,8.985068538949136,22.17798720796813
2010-000003181 Inmet Mining Corporation-f1-01555466_1-2-1,2010-03-31,FS,13.5,14.427160030067425,11.70611428450828,18.302573619017778,8.985068538949136,22.17798720796813
2010-000029807 Minera IRL Limited-f1-01570446_1-1-2,2010-04-06,,12.0,14.436411246920139,11.713620668406634,18.314309891240406,8.990830089893127,22.192208535560674
2010-000026045 Zazu Metals Corporation-f1-01563280_1-1-1,2010-04-08,PEA,16.0,14.441269399595257,11.717562545415552,18.32047303747317,8.993855691235847,22.199676675351082
2010-000005710 Fortune River Resource Corp-f1-01586604_1-1-1,2010-04-13,PEA,14.5,14.501439112724341,11.766383902972215,18.396805496660225,9.03132869322009,22.292171880596108
2010-000029868 Tahoe Resources Inc-f1-01574564_1-1-1,2010-04-30,,15.0,14.571260112091693,12.057897341035899,18.923610197209932,9.544534569980105,23.275960282328175
2011a-000026050 Josephine Mining Corp. ( Green Park Capital Corp.)-f1-01717587_1-1-1,2010-05-17,,12.5,14.637215259367537,11.995333210201553,18.983935763167878,9.353451161035569,23.33065626696822
2010-000002178 Silver Standard Resources Inc-f1-01592513_3-1-1,2010-06-01,PEA,14.5,14.698532514109825,11.984298861390162,19.189609894420848,9.270065208670498,23.680687274731874
2010-000005974 Sona Resources Corp. ( J-Pacific Gold Inc.)-f1-01597225_2-1-1,2010-06-10,PEA,15.0,14.698094709024598,11.907783390754847,19.655261588539595,9.117472072485098,24.612428468054595
2010-000009542 Bravo Gold Corp-f1-01601622_2-1-1,2010-06-28,,18.0,14.8882300750595,12.127539672464932,20.379368264593012,9.366849269870364,25.870506454126527
2010-000011539 Alexis Minerals Corporation-f1-01604138_2-1-1,2010-06-28,,12.0,14.8882300750595,12.127539672464932,20.379368264593012,9.366849269870364,25.870506454126527
2010-000017718 Kimber Resources Inc-f1-01607599_1-1-1,2010-07-16,PEA,14.0,14.955895863685969,12.030847812787528,20.42421139480462,9.105799761889084,25.89252692592327
2010-000025315 Andean Resources Limited-f1-01608512_2-1-1,2010-07-20,FS,14.0,14.965536836919945,12.038603221276746,20.437377391490948,9.111669605633548,25.90921794606195
2010-000008329 Antares Minerals Inc. ( Planet Ventures Inc.)-f1-01632733_2-1-1,2010-09-02,PEA,14.85,15.239403725420532,12.181333480237733,20.77816569113697,9.123263235054935,26.3169276568534
2011a-000013727 MAG Silver Corp-f1-01686802_1-1-1,2010-09-08,,16.0,15.248317182934548,12.19620509035736,20.64098714655519,9.144092997780172,26.03365711017583
