report_id,effective_date,report_type,zn_price_usd_dmt,knn_mean,band1_low,band1_high,band2_low,band2_high
2009-000009025 IAMGOLD Corporation-f1-01384641_1-1-3,2009-02-27,,1770.4946996466429,2085.435196080547,1822.4654858548897,2534.5696537063777,1559.4957756292324,2983.704111332208
2009-000005760 Sunridge Gold Corp-f1-01443806_1-1-1,2009-06-05,PEA,2403.0358,2086.8593992869496,1823.7100995419469,2536.3005836506136,1560.5607997969441,2985.741768014277
2009-000002178 Silver Standard Resources Inc-f1-01445535_1-1-1,2009-06-12,,1543.234,2088.1895905483975,1824.8725560249538,2537.9172545551937,1561.5555215015102,2987.64491856199
2009-000022426 MINCO SILVER CORPORATION-f1-01496862_1-1-1,2009-09-01,,2601.4516,2089.5517831924835,1826.0629785725341,2539.572818892408,1562.574173952585,2989.5938545923327
2010-000003295 Tri Origin Exploration Ltd-f1-01524409_1-1-1,2009-12-15,FS,1763.696,2092.618670062558,1828.743136402534,2543.300212774918,1564.86760274251,2993.981755487278
2010-000002586 Adex Mining Inc-f1-01526896_1-1-1,2010-01-22,,2586.702433416363,2093.953715631257,1829.9098350731858,2544.9227834455864,1565.8659545151145,2995.8918512599157
2010-000026045 Zazu Metals Corporation-f1-01563280_1-1-1,2010-04-08,PEA,2204.62,2094.6547969380995,1830.522511260343,2545.7748547103483,1566.3902255825865,2996.894912482597
2010-000029868 Tahoe Resources Inc-f1-01574564_1-1-1,2010-04-30,,1984.158,2095.3792476218355,1831.1556099870713,2546.655328350601,1566.9319723523072,2997.9314090793664
2011a-000026050 Josephine Mining Corp. ( Green Park Capital Corp.)-f1-01717587_1-1-1,2010-05-17,,1433.003,2096.1278466616964,1831.8098120046907,2547.565151112196,1567.4917773476852,2999.002455562695
2011a-000013727 MAG Silver Corp-f1-01686802_1-1-1,2010-09-08,,2204.62,2100.1377886556133,1835.3141073661236,2552.4387033136773,1570.4904260766339,3004.7396179717407
2010-000022586 Donner Metals Ltd-f1-01646195_1-1-1,2010-09-21,,1763.696,2099.931797351449,1835.1340912031033,2552.1883482273893,1570.3363850547576,3004.4448991033296
2010-000003851 Salazar Resources Limited-f1-01641644_1-2-1,2010-09-24,,2425.082,2099.718939670479,1834.9480745013157,2551.929647971558,1570.1772093321522,3004.1403562726377
2010-000005208 SOHO Resources Corp-f1-01651891_1-1-1,2010-10-29,PEA,1940.0656,2099.4989867334766,1834.7558572428015,2551.6623243738663,1570.0127277521267,3003.825662014256
2010-000002929 Breakwater Resources Ltd-f1-01673123_2-1-1,2010-12-03,,2204.62,2103.060808146184,1837.8685392401317,2555.991245493802,1572.6762703340792,3008.9216828414196
2011a-000005272 Jayden Resources Inc-f1-01707238_1-1-1,2011-03-04,PEA,1983.0,2109.9675261610555,1843.904332261316,2564.3854444217286,1577.8411383615767,3018.8033626824017
2011a-000000923 Barrick Gold Corporation-f1-01723131_1-1-2,2011-03-30,FS,2094.389,2113.4807526405484,1846.9745470610378,2568.655304850984,1580.4683414815272,3023.8298570614193
2011a-000018190 Chesapeake Gold Corp-f1-01733412_1-1-1,2011-04-21,PEA,2204.62,2113.5302213830837,1847.0177778821483,2568.715427540901,1580.5053343812128,3023.900633698719
2011a-000000880 NovaGold Resources Inc-f1-01743319_1-1-1,2011-05-09,,2204.62,2113.581339083704,1847.0624497306294,2568.777554320483,1580.543560377555,3023.9737695572626
