Historic Report Comparison,PEA,PFS,FS
Bias to Trend Mean of Reported Data,0.34579435106923473,-1.2269714279076491,-0.45615960751240026
Bias to Trend Mean of Spot Data,-13.281649609171954,-16.61243822517733,-13.876674628813424
Bias to Trend Mean of 3-year,-1.9957343332324646,-2.5149933303830556,-2.720289997194606
Bias to Trend Mean of 5 year,6.425784774713095,5.688686619686387,5.6853025640939014
