Historic Report Comparison,PEA,PFS,FS
Bias to Trend Mean of Reported Data,-0.17888416857960837,-0.5824853995657595,-2.6069038938189912
Bias to Trend Mean of Spot Data,-1.5986775675614513,-0.02976775719437247,-5.398754043769522
Bias to Trend Mean of 3-year,0.49351555112968176,2.4349549377171638,-2.002045138054332
Bias to Trend Mean of 5 year,2.825684339157805,2.833061209091093,-0.7438439699505294
