report_id,effective_date,report_type,cad_rate,knn_mean,band1_low,band1_high,band2_low,band2_high
2009-000022676 Selkirk Metals Corp-f1-01483120_1-1-1,2004-08-01,FS,1.3569,1.3236102038728936,1.1456094527878578,1.3577422640178816,1.0572147694834393,1.4814803919434865
2005-000003862 Canico Resource Corp-f1-00815347_2-5-1,2005-02-01,FS,1.34,1.3236102038728936,1.1456094527878578,1.3577422640178816,1.0572147694834393,1.4814803919434865
2005-000002488 Cumberland Resources Ltd-f1-00759713_1-1-1,2005-03-31,FS,1.3333,1.3236102038728936,1.1456094527878578,1.3577422640178816,1.0572147694834393,1.4814803919434862
2005-000005784 Tiberon Minerals Ltd-f1-00805816_1-2-1,2005-07-01,FS,1.25,1.2876650035223918,1.1456094527878578,1.3577422640178816,1.0572147694834393,1.4814803919434865
2005-000003862 Canico Resource Corp-f1-00815347_2-8-1,2005-10-21,FS,1.34,1.2547157597962613,1.1456094527878578,1.3577422640178816,1.0572147694834393,1.4814803919434862
2006-000002178 Silver Standard Resources Inc-f1-00928056_1-1-1,2006-04-01,FS,1.182,1.2200671427991527,1.127275287888919,1.3360131568616993,1.0402952600728512,1.457770998018412
2006-000020574 Marathon PGM Corporation-f1-01001255_1-14-1,2006-06-30,PEA,1.1905,1.1971078431862778,1.0904577742062433,1.290429102871279,1.0075942734820784,1.4075369308121495
2007-000024893 Victory Nickel Inc-f1-01128347_2-1-1,2006-11-24,PEA,1.12,1.1480800000000002,1.0753576097627953,1.2699999517078322,0.9949984449474215,1.3842831288374953
2007-000002470 Fortune Minerals Limited-f1-01060037_1-1-1,2007-02-01,FS,1.1905,1.135453,1.0632820526880358,1.253156306946853,0.9851934067775284,1.3649419152951627
2007-000005736 New Cantech Ventures Inc-f1-01120333_3-1-1,2007-06-14,PEA,1.17,1.126122,1.047127918565693,1.2239602835471153,0.972520637131385,1.3261853670942303
2007-000004246 Vista Gold Corp-f1-01122914_2-1-1,2007-06-20,PFS,1.06,1.126122,1.047127918565693,1.2239602835471153,0.972520637131385,1.3261853670942303
2007-000000834 Agnico-Eagle Mines Limited-f1-01161104_1-1-1,2007-08-09,FS,1.21,1.1189399999999998,1.0471279185656925,1.2239602835471153,0.972520637131385,1.3261853670942303
2007-000003212 Taseko Mines Limited-f1-01168446_1-1-2,2007-09-21,FS,1.25,1.1189399999999998,1.0446794236056012,1.2160325450853795,0.9713786472112025,1.314084890170759
2007-000003448 Sherwood Copper Corporation-f1-01199204_1-1-1,2007-11-30,PFS,1.0,1.1116199999999998,1.0438277173667057,1.2096908468661876,0.9720118347334118,1.303738093732375
2008-000004246 Vista Gold Corp-f1-01205410_1-1-1,2008-01-09,PEA,1.0,1.111255,1.0438277173667057,1.2096908468661876,0.9720118347334118,1.303738093732375
2008-000001913 Northgate Minerals Corporation-f1-01302144_4-1-1,2008-04-01,PEA,1.1111,1.11041,1.04440652230305,1.1996629441332882,0.9756130446061002,1.2861258882665765
2008-000023811 First Metals Inc-f1-01253557_1-1-1,2008-04-07,PFS,1.1111,1.11041,1.04440652230305,1.1996629441332882,0.9756130446061002,1.2861258882665765
2008-000009374 Starfield Resources Inc-f1-01258110_1-1-1,2008-04-30,PEA,1.11,1.11053,1.0453775954829716,1.1961555018076448,0.9779003909659437,1.2794562036152894
2008-000025279 Copper Mountain Mining Corporation-f1-01321217_2-1-1,2008-09-11,FS,1.0526,1.1120869999999998,1.0492588137397978,1.189849484755368,0.9842703274795953,1.265451669510736
2008-000022200 TTM Resources Inc-f1-01329563_2-1-1,2008-10-07,PEA,1.1111,1.1139039999999998,1.0524787973935255,1.192419420255333,0.9890762947870503,1.268957540510666
2008-000025315 Andean Resources Limited-f1-01357523_2-1-1,2008-12-01,PFS,1.0753,1.1139040000000002,1.054241953447006,1.1924824636355014,0.9921951068940118,1.2686761272710025
2009-000007862 Golden Band Resources Inc-f1-01384353_1-1-1,2009-01-16,PFS,1.1111,1.115488,1.054241953447006,1.1924824636355014,0.9921951068940118,1.2686761272710025
2009-000001166 Comaplex Minerals Corp-f1-01377866_2-1-1,2009-02-20,PEA,1.1111,1.1185800000000001,1.0555805705422583,1.192348782340742,0.9946205410845167,1.2681569646814834
2009-000002878 Banro Corporation-f1-01381509_1-1-1,2009-02-27,FS,1.06,1.1185800000000001,1.0555805705422583,1.192348782340742,0.9946205410845167,1.2681569646814834
2009-000005425 NEMI Northern Energy & Mining Inc-f1-01388105_1-1-1,2009-03-02,FS,1.0,1.1185800000000001,1.0555805705422583,1.192348782340742,0.9946205410845167,1.2681569646814834
2009-000006087 Gabriel Resources Ltd-f1-01384149_1-1-1,2009-03-04,FS,1.23,1.1185800000000001,1.0555805705422583,1.192348782340742,0.9946205410845167,1.2681569646814834
2009-000014092 Skyline Gold Corporation-f1-01384343_1-1-1,2009-03-04,PEA,1.1765,1.1185800000000001,1.0555805705422583,1.192348782340742,0.9946205410845167,1.2681569646814834
2009-000022748 Explorator Resources Inc-f1-01441034_2-1-1,2009-05-30,PEA,1.0,1.1146049999999998,1.0582693739330338,1.1904775874830555,1.0003267478660678,1.2647431749661107
2009-000010193 Chariot Resources Limited-f1-01415384_1-2-1,2009-06-08,FS,1.24,1.1146049999999998,1.0586686351068502,1.1891478893453042,1.0020025702136999,1.2629610786906083
