report_id,year,effective_date,company,study_type,concentrate_id,concentrate_name,concentrate_type,tc_usd_per_dmt,cu_rc_usd_per_lb,zn_rc_usd_per_lb,ag_rc_usd_per_oz,au_rc_usd_per_oz,cu_grade_pct,zn_grade_pct,ag_grade_gpt,au_grade_gpt,moisture_pct,cu_payability_pct,zn_payability_pct,ag_payability_pct,au_payability_pct
2012-000016057 Tamerlane Ventures Inc-f1-01876458_1-1-1,2012,2012-03-23,Tamerlane Ventures Inc,FS,2,zinc_concentrate,zinc,200,,,,,,55.3,,,12,,85,,
2012-000016269 China Gold International Resources Corp. Ltd-f1-01985227_1-1-1,2012,2012-11-12,China Gold International Resources Corp. Ltd,PFS,4,zinc_concentrate,zinc,,,,,,,,,,,,65,,
2012-000019735 Andover Mining Corp-f1-01847454_1-1-1,2012,2011-11-17,Andover Mining Corp,PEA,2,zinc_concentrate,zinc,302.8326909,,,0.6,,,54,8,,9,,85,95,
2013-000005760 Sunridge Gold Corp-f1-02080601_3-1-1,2013,2013-05-16,Sunridge Gold Corp,FS,2,zinc_concentrate,zinc,190,,,,,,59,,,10,,85,,
2013-000005775 Firestone Ventures Inc-f1-02048476_1-1-1,2013,2013-01-01,Firestone Ventures Inc,PEA,1,zinc_concentrate,zinc,0,,,,,,37.1,,,1.5,,45,,
2013-000009013 Apogee Silver Ltd-f1-02022833_1-1-1,2013,2013-01-17,Apogee Silver Ltd,FS,1,zinc_concentrate,zinc,175.14,,,,,,51,411,,10,,85,70,
2013-000016508 Kootenay Silver Inc-f1-02073683_1-1-1,2013,2013-03-31,Kootenay Silver Inc,PEA,2,zinc_concentrate,zinc,,,,,,,54.5,,,,,,,
2013-000023995 Arian Silver Corporation-f1-02065398_1-1-1,2013,2013-05-23,Arian Silver Corporation,PEA,2,zinc_concentrate,zinc,,,,,,,,,,,,95,95,
2013-000024219 Zincore Metals Inc-f1-02102106_1-1-1,2013,2013-08-06,Zincore Metals Inc,PFS,2,lead_zinc_concentrate,zinc,392.9411765,,,,,,48.97,,,15,,80,,
2013-000026723 Southeast Asia Mining Corp-f1-02065996_1-1-1,2013,2013-03-31,Southeast Asia Mining Corp,PEA,2,zinc_concentrate,zinc,225,,,,,,54,,,8,,85,70,
2014-000002432 Pan American Silver Corp-f1-02159847_1-1-1,2014,2013-12-31,Pan American Silver Corp,PEA,2,zinc_concentrate,zinc,,,,,,,,,,9,,,,
2014-000004588 Continental Precious Minerals Inc-f1-02168893_1-1-1,2014,2014-02-06,Continental Precious Minerals Inc,PEA,2,zinc_concentrate,zinc,,,,,,,,,,,,,,
2014-000008301 Trevali Mining Corporation-f1-02208589_1-2-1,2014,2014-05-13,Trevali Mining Corporation,PEA,3,zinc_concentrate,zinc,,,,,,,50,126,,,,85,,
2014-000011649 InZinc Mining Ltd-f1-02204980_1-1-1,2014,2014-03-17,InZinc Mining Ltd,PEA,1,zinc_concentrate,zinc,210,,,,,,55,,,,,,,
2014-000016057 Tamerlane Ventures Inc-f1-02181779_1-1-1,2014,2014-03-14,Tamerlane Ventures Inc,FS,1,zinc_concentrate,zinc,204,,,,,,60,,,12,,85,,
2014-000025411 Xtierra Inc-f1-02198936_1-1-1,2014,2014-04-28,Xtierra Inc,PEA,2,zinc_concentrate,zinc,205,,,,,,42.9,91.4,,8,,85,,
2014-000031795 Santacruz Silver Mining Ltd-f1-02270963_2-1-1,2014,2014-09-04,Santacruz Silver Mining Ltd,PEA,1,zinc_concentrate,zinc,190,,,,,0.41,53.81,106,,,,85,,
2014-000034516 Chieftain Metals Corp-f1-02288920_1-1-1,2014,2014-10-20,Chieftain Metals Corp,FS,3,zinc_concentrate,zinc,165,,,,,0.7,60,80,0.8,8,,85,,
2015-000003353 Excellon Resources Inc-f1-02361109_1-2-1,2015,2015-07-09,Excellon Resources Inc,PEA,2,zinc_concentrate,zinc,79.33194154,,,1.65,,,51,352.16,,4.2,,84.2,51.5,
2015-000029300 Rathdowney Resources Ltd-f1-02337292_2-2-1,2015,2014-12-31,Rathdowney Resources Ltd,PEA,1,zinc_concentrate,zinc,244.4444444,,,,,,56,,,10,,85,,
2016-000032588 Toachi Mining Inc-f1-02455144_1-1-1,2016,2016-01-14,Toachi Mining Inc,PEA,3,zinc_concentrate,zinc,,,,,,1.4,30.6,53.1,1.5,,,,,
2016-000036217 Heron Resources Limited-f1-02509900_1-1-1,2016,2016-07-19,Heron Resources Limited,FS,1,zinc_concentrate,zinc,204,,,,,0.6,51,100,0.5,10.8,,85,70,
2017-000002068 SOLITARIO EXPLORATION & ROYALTY CORP-f1-02649783_1-1-1,2017,2014-03-03,SOLITARIO EXPLORATION & ROYALTY CORP,PEA,1,zinc_concentrate,zinc,170,,,,,,53.4,66,,8,,85,70,
2017-000002753 CANADIAN ZINC CORPORATION-f1-02688765_1-1-1,2017,2017-09-28,CANADIAN ZINC CORPORATION,FS,2,zinc_concentrate,zinc,172,,,,,,59,136,,,,85,70,
2017-000004947 Yorbeau Resources Inc-f1-02711026_2-1-1,2017,2017-12-06,Yorbeau Resources Inc,PEA,2,zinc_concentrate,zinc,180,,,,,,55,53,,8,,85,2,
2017-000008301 Trevali Mining Corporation-f1-02690655_5-2-1,2017,2017-10-26,Trevali Mining Corporation,PEA,1,zinc_concentrate,zinc,,,,,,0.39,50,72,,,,85,65,
2017-000013503 Bear Creek Mining Corporation-f1-02687108_1-1-1,2017,2017-09-13,Bear Creek Mining Corporation,FS,2,zinc_concentrate,zinc,145,,,,,,53.8,331,,8,,85,74,
2017-000013727 MAG Silver Corp-f1-02710844_1-1-1,2017,2017-10-21,MAG Silver Corp,PEA,2,zinc_concentrate,zinc,235,,,,,,50.5,459,1.14,9,,85,70,65
2017-000042897 Golden Arrow Resources Corporation-f1-02641369_1-1-1,2017,2016-12-31,Golden Arrow Resources Corporation,PFS,2,zinc_concentrate,zinc,230,,,,,,45,5000,,18,,85,75,
