report_id,year,effective_date,company,study_type,concentrate_id,concentrate_name,concentrate_type,tc_usd_per_dmt,cu_rc_usd_per_lb,zn_rc_usd_per_lb,ag_rc_usd_per_oz,au_rc_usd_per_oz,cu_grade_pct,zn_grade_pct,ag_grade_gpt,au_grade_gpt,moisture_pct,cu_payability_pct,zn_payability_pct,ag_payability_pct,au_payability_pct
2023-000020073 CERRO DE PASCO RESOURCES INC. ( Genius Properties Ltd.)-f1-03518451_1-1-1,2023,2023-01-31,CERRO DE PASCO RESOURCES INC. ( Genius Properties Ltd.),PEA,2,copper_concentrate,copper,128,,,,,20.83,13.64,433.82,,8,96.4,,90,
2023-000024140 Highland Copper Company Inc-f1-03521951_1-1-1,2023,2023-03-06,Highland Copper Company Inc,FS,1,copper_concentrate,copper,65,0.065,,0.5,,24.7,954.2,48.1,0.2,9,96.5,,90,
2023-000024140 Highland Copper Company Inc-f1-06024747_2-1-1,2023,2023-07-12,Highland Copper Company Inc,PEA,1,copper_concentrate,copper,65,0.065,,0.5,,30.5,,142.25,,9,96.5,,90,
2023-000024464 Nickel Creek Platinum Corp-f1-06033570_1-1-1,2023,2023-09-20,Nickel Creek Platinum Corp,PFS,3,copper_concentrate,copper,70,,,,,25.6,,,,8,95,,,
2023-000026264 Ascendant Resources Inc-f1-06003352_1-1-1,2023,2023-07-24,Ascendant Resources Inc,FS,3,copper_concentrate,copper,31.61290323,0.03,,0.4,5,20,,,,7,96.5,,90,90
2023-000030584 Atalaya Mining plc-f1-03508573_1-1-1,2023,2022-10-31,Atalaya Mining plc,PEA,1,copper_concentrate,copper,0.45,,,,,23,,,,8,,,,
2023-000031036 GoldMining Inc. ( Brazil Resources Inc.)-f1-06024533_3-1-1,2023,2023-07-24,GoldMining Inc. ( Brazil Resources Inc.),PEA,1,copper_concentrate,copper,76.08695652,0.07,,,2,24.5,,175,75,8,96,,92,97
2023-000031822 Granite Creek Copper Ltd-f1-03500584_1-1-1,2023,2022-02-25,Granite Creek Copper Ltd,PEA,1,copper_concentrate,copper,0.08,0.06,,0.31,4.26,40,,134.4,11,,,,,
2023-000033050 Trilogy Metals Inc-f1-03491294_1-1-1,2023,2023-01-20,Trilogy Metals Inc,FS,1,copper_concentrate,copper,80,0.08,,0.5,5,30.3,,161,3.4,6,96.5,,90,90
2023-000036463 Faraday Copper Corp. ( Copperbank Resources Corp.)-f1-03549937_1-1-1,2023,2023-05-03,Faraday Copper Corp. ( Copperbank Resources Corp.),PEA,1,copper_concentrate,copper,80,0.08,,0.4,,30,,45,0.6,8,96.5,,95,
